slot,avg_twci,max_twci,stations_workable,stations_with_trains,total_deps_2h,avg_freq,max_freq,ic_trains_total,avg_workspaces_open,stations_with_workspace,workable_stations,top1,top2,top3
early_morning,0.1227,0.5297,13,48,805,8.2,53.5,104,0.33,10,"Vernier, Blandonnet, Lausanne, Renens VD, Genève, Vevey, Morges, Montreux, Genève-Eaux-Vives, Genève-Champel, Prilly-Malley, Genève-Sécheron, Lausanne-Flon, La Tour-de-Peilz",Genève (0.530),"Vernier, Blandonnet (0.440)",Lausanne (0.381)
am_peak,0.1457,0.6732,14,48,1008,10.3,84.0,128,0.9,17,"Vernier, Blandonnet, Lausanne, Renens VD, Genève, Vevey, Morges, Montreux, Nyon, Genève-Eaux-Vives, Genève-Champel, Prilly-Malley, Genève-Sécheron, Lausanne-Flon, La Tour-de-Peilz",Genève (0.673),"Vernier, Blandonnet (0.549)",Lausanne (0.512)
midday,0.1471,0.7224,14,48,925,9.4,64.0,109,1.06,18,"Vernier, Blandonnet, Lausanne, Renens VD, Genève, Vevey, Morges, Montreux, Nyon, Genève-Eaux-Vives, Genève-Champel, Prilly-Malley, Genève-Sécheron, Lausanne-Flon, La Tour-de-Peilz",Genève (0.722),Lausanne (0.535),"Vernier, Blandonnet (0.478)"
pm_peak,0.1487,0.7331,14,48,1013,10.3,83.5,128,1.0,17,"Vernier, Blandonnet, Lausanne, Renens VD, Genève, Vevey, Morges, Montreux, Nyon, Genève-Eaux-Vives, Genève-Champel, Prilly-Malley, Genève-Sécheron, Lausanne-Flon, La Tour-de-Peilz",Genève (0.733),"Vernier, Blandonnet (0.548)",Lausanne (0.515)
evening,0.1287,0.5315,14,48,925,9.4,62.0,118,0.39,11,"Vernier, Blandonnet, Lausanne, Renens VD, Genève, Vevey, Morges, Montreux, Nyon, Genève-Eaux-Vives, Genève-Champel, Prilly-Malley, Genève-Sécheron, Lausanne-Flon, La Tour-de-Peilz",Genève (0.531),"Vernier, Blandonnet (0.471)",Lausanne (0.401)
late_night,0.1209,0.5083,13,48,724,7.4,38.5,72,0.37,11,"Vernier, Blandonnet, Lausanne, Renens VD, Genève, Vevey, Montreux, Nyon, Genève-Eaux-Vives, Genève-Champel, Prilly-Malley, Genève-Sécheron, Lausanne-Flon, La Tour-de-Peilz",Genève (0.508),"Vernier, Blandonnet (0.387)",Lausanne (0.379)
weekend_mid,0.1324,0.5605,14,48,857,8.7,55.5,113,0.61,13,"Vernier, Blandonnet, Lausanne, Renens VD, Genève, Vevey, Morges, Montreux, Nyon, Genève-Eaux-Vives, Genève-Champel, Prilly-Malley, Genève-Sécheron, Lausanne-Flon, La Tour-de-Peilz",Genève (0.560),"Vernier, Blandonnet (0.448)",Lausanne (0.423)
