tower_id,operator,technology,has_3g,has_4g,has_5g,power_class,station_type,is_indoor,E_LV95,N_LV95,lat_wgs84,lon_wgs84,source
TOWER_2584,Swisscom LHCL,"Technology 3G,4G",True,True,False,low,Indoor ≤ 6 Werp,True,2539063,1153105,46.526466,6.644427,BAKOM/geo.admin.ch (22.02.26)
TOWER_2585,Salt GE_0062E,"Technology 3G,4G,5G",True,True,True,high,Outdoor > 6 Werp,False,2490379,1116529,46.191296,6.018649,BAKOM/geo.admin.ch (22.02.26)
TOWER_2586,Sunrise VD307-3,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2545190,1154187,46.536729,6.724149,BAKOM/geo.admin.ch (22.02.26)
TOWER_2587,Salt GE_3058A,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2496117,1117158,46.197863,6.092822,BAKOM/geo.admin.ch (22.02.26)
TOWER_2588,Salt GE_3105A,"Technology 3G,4G",True,True,False,medium,Outdoor > 6 Werp,False,2501531,1124365,46.263498,6.161428,BAKOM/geo.admin.ch (22.02.26)
TOWER_2589,Salt GE_1809A,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2504122,1116824,46.196046,6.196577,BAKOM/geo.admin.ch (22.02.26)
TOWER_2590,Salt VD_7047A,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2530510,1152345,46.518797,6.533076,BAKOM/geo.admin.ch (22.02.26)
TOWER_2591,Sunrise GE125-2,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2498760,1118481,46.210165,6.126769,BAKOM/geo.admin.ch (22.02.26)
TOWER_2592,Salt GE_7665A,"Technology 3G,4G,5G",True,True,True,low,Indoor ≤ 6 Werp,True,2498745,1114930,46.178224,6.127343,BAKOM/geo.admin.ch (22.02.26)
TOWER_2593,Swisscom GPOB,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2501085,1133449,46.345138,6.153715,BAKOM/geo.admin.ch (22.02.26)
TOWER_2594,Swisscom PURE,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2540578,1151795,46.514819,6.664339,BAKOM/geo.admin.ch (22.02.26)
TOWER_2595,Salt VD_8057A,"Technology 3G,4G",True,True,False,low,Outdoor ≤ 6 Werp,False,2501981,1128993,46.30519,6.166291,BAKOM/geo.admin.ch (22.02.26)
TOWER_2596,Swisscom GRBO,Technology 4G,False,True,False,medium,Outdoor > 6 Werp,False,2501315,1117392,46.200749,6.1601,BAKOM/geo.admin.ch (22.02.26)
TOWER_2597,Sunrise VD050-4,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2533230,1153555,46.529958,6.568344,BAKOM/geo.admin.ch (22.02.26)
TOWER_2598,Sunrise GE459-2,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2505610,1117343,46.200924,6.215746,BAKOM/geo.admin.ch (22.02.26)
TOWER_2599,Salt GE_8010B,Technology 4G,False,True,False,medium,Outdoor > 6 Werp,False,2499977,1118374,46.209384,6.142559,BAKOM/geo.admin.ch (22.02.26)
TOWER_2600,Swisscom LULL,"Technology 3G,4G",True,True,False,medium,Outdoor > 6 Werp,False,2525285,1150979,46.505947,6.465214,BAKOM/geo.admin.ch (22.02.26)
TOWER_2601,Swisscom LNIB,"Technology 3G,4G,5G",True,True,True,low,Indoor ≤ 6 Werp,True,2534080,1152740,46.522711,6.579539,BAKOM/geo.admin.ch (22.02.26)
TOWER_2602,Salt VD_0760B,"Technology 3G,4G",True,True,False,medium,Outdoor > 6 Werp,False,2560539,1134184,46.357874,6.925931,BAKOM/geo.admin.ch (22.02.26)
TOWER_2603,Salt VD_7556A,"Technology 3G,4G",True,True,False,low,Indoor ≤ 6 Werp,True,2538186,1152848,46.524074,6.633032,BAKOM/geo.admin.ch (22.02.26)
TOWER_2604,Swisscom TRRE,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2560303,1119365,46.224557,6.924126,BAKOM/geo.admin.ch (22.02.26)
