station_name,station_id,lat_wgs84,lon_wgs84,E_lv95,N_lv95,first_train_wd,last_train_wd,service_window_wd,first_train_we,last_train_we,service_window_we,connectivity,mobility,freq_early_morning,ic_early_morning,ws_open_early_morning,transit_early_morning,workspace_early_morning,twci_early_morning,freq_am_peak,ic_am_peak,ws_open_am_peak,transit_am_peak,workspace_am_peak,twci_am_peak,freq_midday,ic_midday,ws_open_midday,transit_midday,workspace_midday,twci_midday,freq_pm_peak,ic_pm_peak,ws_open_pm_peak,transit_pm_peak,workspace_pm_peak,twci_pm_peak,freq_evening,ic_evening,ws_open_evening,transit_evening,workspace_evening,twci_evening,freq_late_night,ic_late_night,ws_open_late_night,transit_late_night,workspace_late_night,twci_late_night,freq_weekend_mid,ic_weekend_mid,ws_open_weekend_mid,transit_weekend_mid,workspace_weekend_mid,twci_weekend_mid
Genève-Champel,8516272,46.192208,6.153473,2506243.8,1115664.7,04:07,07:45,3.6,04:07,07:54,3.8,0.64,0.5233,9.5,0,0,0.1131,0.0,0.2666,12.5,0,0,0.1488,0.0,0.2773,12.0,0,1,0.1429,0.0909,0.3028,13.0,0,1,0.1548,0.0909,0.3064,12.5,0,1,0.1488,0.0909,0.3046,8.0,0,1,0.0952,0.0909,0.2885,10.0,0,1,0.119,0.0909,0.2956
Lancy-Bachet,8517142,46.174342,6.12934,2504483.2,1113679.2,04:10,07:49,3.6,04:10,07:55,3.8,0.0,0.2533,9.5,0,0,0.1131,0.0,0.0846,12.5,0,0,0.1488,0.0,0.0953,12.0,0,0,0.1429,0.0,0.0935,13.0,0,0,0.1548,0.0,0.0971,12.5,0,0,0.1488,0.0,0.0953,8.0,0,0,0.0952,0.0,0.0792,10.0,0,0,0.119,0.0,0.0864
Lancy-Pont-Rouge,8516155,46.18596,6.124929,2504161.4,1114970.4,04:07,07:52,3.8,04:07,07:52,3.8,0.0,0.6567,9.0,0,0,0.1071,0.0,0.1635,12.0,0,0,0.1429,0.0,0.1742,12.0,0,0,0.1429,0.0,0.1742,13.0,0,0,0.1548,0.0,0.1778,12.5,0,0,0.1488,0.0,0.176,8.5,0,0,0.1012,0.0,0.1617,10.0,0,0,0.119,0.0,0.1671
Palézieux,8504014,46.542766,6.83786,2556171.9,1154622.9,04:48,08:12,3.4,04:25,07:48,3.4,0.0,0.0533,10.5,3,0,0.125,0.0,0.0482,11.5,4,0,0.1369,0.0,0.0517,11.0,4,0,0.131,0.0,0.0499,12.0,4,0,0.1429,0.0,0.0535,11.0,4,0,0.131,0.0,0.0499,10.0,4,0,0.119,0.0,0.0464,10.0,4,0,0.119,0.0,0.0464
"Aubonne, gare",8501870,46.493844,6.39294,2523713.6,1149186.1,05:23,09:51,4.5,05:35,11:51,6.3,0.0,0.0433,6.0,0,0,0.0714,0.0,0.0301,11.0,0,0,0.131,0.0,0.0479,10.0,0,0,0.119,0.0,0.0444,10.5,0,0,0.125,0.0,0.0462,9.0,0,0,0.1071,0.0,0.0408,4.5,0,0,0.0536,0.0,0.0247,7.5,0,0,0.0893,0.0,0.0354
Coppet,8501023,46.317405,6.187806,2508748.5,1129578.1,04:18,08:49,4.5,04:06,10:11,6.1,0.2,0.0167,7.5,0,0,0.0893,0.0,0.0701,9.5,0,0,0.1131,0.0,0.0773,8.0,0,0,0.0952,0.0,0.0719,8.5,0,0,0.1012,0.0,0.0737,8.0,0,0,0.0952,0.0,0.0719,8.0,0,0,0.0952,0.0,0.0719,8.0,0,0,0.0952,0.0,0.0719
Bussigny,8501117,46.547597,6.551814,2535304.0,1155159.8,04:48,08:41,3.9,04:48,08:11,3.4,0.0,0.1033,9.0,0,0,0.1071,0.0,0.0528,9.0,0,0,0.1071,0.0,0.0528,9.0,0,0,0.1071,0.0,0.0528,9.0,0,0,0.1071,0.0,0.0528,9.0,0,0,0.1071,0.0,0.0528,9.0,0,0,0.1071,0.0,0.0528,8.0,0,0,0.0952,0.0,0.0492
Prilly-Malley,8518452,46.526697,6.602624,2539010.7,1152837.1,04:42,08:42,4.0,04:42,07:42,3.0,1.0,0.28,9.0,0,0,0.1071,0.0,0.2881,9.0,0,0,0.1071,0.0,0.2881,9.0,0,0,0.1071,0.0,0.2881,9.0,0,0,0.1071,0.0,0.2881,9.0,0,0,0.1071,0.0,0.2881,9.0,0,0,0.1071,0.0,0.2881,8.0,0,0,0.0952,0.0,0.2846
Cully,8501124,46.488565,6.727141,2548094.6,1148599.4,05:05,09:14,4.1,05:05,09:10,4.1,0.2,0.0033,8.5,0,0,0.1012,0.0,0.071,9.0,0,0,0.1071,0.0,0.0728,9.0,0,0,0.1071,0.0,0.0728,9.0,0,0,0.1071,0.0,0.0728,9.0,0,0,0.1071,0.0,0.0728,9.0,0,0,0.1071,0.0,0.0728,8.0,0,0,0.0952,0.0,0.0692
"Begnins, poste",8501851,46.440225,6.247701,2513118.0,1143227.3,05:41,11:41,6.0,05:41,13:16,7.6,0.0,0.0267,5.0,0,0,0.0595,0.0,0.0232,8.5,0,0,0.1012,0.0,0.0357,7.0,0,0,0.0833,0.0,0.0303,8.0,0,0,0.0952,0.0,0.0339,7.0,0,0,0.0833,0.0,0.0303,4.5,0,0,0.0536,0.0,0.0214,5.0,0,0,0.0595,0.0,0.0232
Genève-Sécheron,8516283,46.222452,6.144542,2505592.3,1119025.8,04:03,08:55,4.9,04:03,10:10,6.1,0.8,0.16,7.0,0,1,0.0833,0.0909,0.2443,8.0,0,1,0.0952,0.0909,0.2478,8.0,0,1,0.0952,0.0909,0.2478,8.0,0,1,0.0952,0.0909,0.2478,8.0,0,1,0.0952,0.0909,0.2478,8.0,0,1,0.0952,0.0909,0.2478,8.0,0,0,0.0952,0.0,0.2206
Genthod-Bellevue,8501021,46.256747,6.153947,2506278.4,1122837.1,04:11,08:56,4.8,04:11,10:11,6.0,0.0,0.1,7.0,0,0,0.0833,0.0,0.045,8.0,0,1,0.0952,0.0909,0.0758,8.0,0,1,0.0952,0.0909,0.0758,8.0,0,1,0.0952,0.0909,0.0758,8.0,0,0,0.0952,0.0,0.0486,8.0,0,0,0.0952,0.0,0.0486,8.0,0,0,0.0952,0.0,0.0486
Versoix,8501022,46.279741,6.165718,2507137.1,1125392.4,04:17,08:47,4.5,04:17,09:57,5.7,0.0,0.04,7.0,0,1,0.0833,0.0909,0.0603,8.0,0,1,0.0952,0.0909,0.0638,8.0,0,1,0.0952,0.0909,0.0638,8.0,0,1,0.0952,0.0909,0.0638,8.0,0,1,0.0952,0.0909,0.0638,8.0,0,1,0.0952,0.0909,0.0638,8.0,0,0,0.0952,0.0,0.0366
