nom,adresse,lat_wgs84,lon_wgs84,E_LV95,N_LV95,type,ville
"Gurudwara Sahib Genève","Rue Jean-Ant.-Gautier 9/11, 1201 Genève",46.213720,6.150029,2502094.47,1117175.47,Temple sikh (Gurdwara),Genève
"Geneva Bahá'í Center","Rte de Malagnou 24, 1208 Genève",46.197585,6.160036,2502762.11,1115420.55,Centre Bahá'í,Genève
"Church of Scientology Geneva","Av. Louis-Casaï 71/4ème étage, 1216 Cointrin",46.224197,6.107638,2499506.64,1118362.84,Église de Scientologie,Cointrin
"Ecole Rudolf Steiner Lausanne","Rte du Bois-Genoud 36, 1023 Crissier",46.559329,6.589787,2535367.93,1155720.08,École anthroposophique Steiner,Crissier
