nom,adresse,tradition,E_LV95,N_LV95
Vedanta Centre Geneva,Geneve,Vedanta Hindouisme,2498164.16,1118046.95
Center Sivananda Yoga Vedanta,Geneve,Sivananda Yoga Vedanta,2499960.44,1116355.92
Geneva Arputha Vinayagar Temple,Versoix,Hindouisme Tamil Shaivisme,2501046.55,1128218.14
Communaute hindoue de Nyon,Nyon,Hindouisme,2507116.09,1137602.37
Ashram de la Foret Yoga Vedanta,Morges,Yoga Vedanta Hindouisme,2527262.15,1150828.27
Communaute tamoule hindoue Renens,Renens,Hindouisme Tamil Shaivisme,2534848.53,1153153.70
Sri Karpaga Vinayagar Temple,Prilly Lausanne,Hindouisme Tamil Shaivisme,2535843.27,1153759.19
Sri Murugan Temple Lausanne,Lausanne,Hindouisme Tamil Shaivisme,2538023.96,1152286.33
