nom,adresse,lat_wgs84,lon_wgs84,E_LV95,N_LV95,type,ville
"Geneva Arputha Vinayagar Temple","Chem. de la Bécassière, 1290 Versoix",46.298069,6.154340,2502444.84,1126023.72,Temple hindou tamoul (Ganesha),Versoix
"Vedanta Centre Geneva","Av. d'Aïre 63, 1203 Genève",46.206154,6.119160,2499949.62,1116441.35,Centre Vedanta,Genève
"Center Sivananda Yoga Vedanta","Rue des Minoteries 1, 1205 Genève",46.191214,6.142792,2501661.01,1114777.42,Centre Yoga Vedanta,Genève
"Sri Karpaga Vinayagar - Hindu Temple","Av. de la Rochelle 12, 1008 Prilly",46.532043,6.602380,2535797.96,1151983.91,Temple hindou tamoul (Ganesha),Prilly
