nom,adresse,courant,statut,E_LV95,N_LV95
Synagogue Beth-Yaacov (Grande Synagogue CIG),Pl. de la Synagogue 11 Geneve,Orthodoxe ashkenaze,actif,2499841.35,1117642.71
Hekhal Haness (CIG synagogue sefarade),Rte de Malagnou 54ter Geneve,Orthodoxe sefarade,actif,2501654.09,1116860.87
Chabad de Geneve,Av. Theodore-Weber 12 Geneve,Hassidisme Chabad,actif,2501477.59,1117192.93
Communaute Juive Liberale de Geneve (GIL),Chem. Ella-Maillart 2 Geneve,Liberal-Massorti,actif,2502134.75,1117352.40
Synagogue de Lausanne (CILV),Av. Juste-Olivier 1 Lausanne,Orthodoxe,actif,2538534.96,1151974.75
CILV Secretariat communautaire,Av. Georgette 3 Lausanne,Orthodoxe,actif,2538559.06,1152080.73
Habad Lausanne,Av. Juste-Olivier 23 Lausanne,Hassidisme Chabad,actif,2538428.90,1151715.99
