"nom","commune","canton","denomination","federation","adresse","E_LV95","N_LV95"
"Église évangélique de Lonay","Lonay","VD","Évangélique FREE","FREE/FEV","Route de Préverenges 14, 1027 Lonay","2529631.4","1151244.8"
"Église évangélique Provence 24","Lausanne","VD","Évang. Mouvement Plus","MVT+/FEV","Avenue de Provence 24, 1007 Lausanne","2537092.9","1152051.4"
"Assemblée évangélique des Trois-Rois","Lausanne","VD","Évangélique","Indépendant","Chemin des Trois-Rois 5, 1005 Lausanne","2537732.6","1152311.6"
"EER Lausanne – Riponne (UEER)","Lausanne","VD","Évangélique réveil","UEER/FEV","Place de la Riponne 7, 1004 Lausanne","2538104.1","1152619.0"
"EER des Boveresses","Lausanne","VD","Évangélique réveil","UEER/FEV","Avenue des Boveresses 58, 1010 Lausanne","2540578.2","1154484.0"
"Gospel Center Lausanne","Lausanne","VD","Évangélique charismat.","Gospel Wave","Chemin de Bérée 70, 1010 Lausanne","2539827.8","1153857.7"
"Armée du Salut – Arc lémanique","Lausanne","VD","Armée du Salut","AdS/FEV","Rue de la Louve 10, 1003 Lausanne","2537918.7","1152498.6"
"Église évangélique de Lausanne-Malley","Lausanne","VD","Évangélique FREE","FREE/FEV","Chemin de Rionza 2, 1003 Lausanne","2535569.1","1152367.7"
"Église évangélique de Villard","Lausanne","VD","Évangélique FREE","FREE/FEV","Chemin des Fleurettes 35, 1007 Lausanne","2536971.4","1151441.3"
"Centre chrétien EKKLESIA","Ecublens","VD","Évangélique réveil","UEER/FEV","Chemin du Croset 9, 1024 Ecublens","2533686.8","1153566.6"
"EER Lazare","Bussigny","VD","Évangélique réveil","UEER/FEV","Chemin du Vallon 24, 1030 Bussigny","2532503.4","1152723.8"
"C3 Lausanne","Lausanne","VD","Évangélique AVEE","AVEE/FEV","Avenue des Bergières 12, 1004 Lausanne","2535115.3","1152984.1"
"Westlake Church Lausanne","Saint-Sulpice","VD","Évangélique internat.","Westlake/FEV","Foyer des Pâquis 13, 1025 Saint-Sulpice","2532595.3","1151344.2"
"Église HOME Lausanne","Lausanne","VD","Évangélique","FEV","Rue de la Borde 14, 1018 Lausanne","2539886.7","1154379.7"
"Eglise Viva Lausanne (Stadtmission)","Echandens","VD","Évangélique Viva","Viva/FEV","Route de la Chocolatière 11, 1026 Echandens","2531515.6","1152912.8"
"EER de Pully (UEER)","Pully","VD","Évangélique réveil","UEER/FEV","Chemin du Coteau 16, 1009 Pully","2540433.1","1151450.4"
"Église évangélique La Croisée","Blonay","VD","Évangélique FREE","FREE/FEV","Ruelle de Borjaux 5, 1807 Blonay","2557934.1","1144032.0"
"Église évangélique La Passerelle","Vevey","VD","Évangélique FREE","FREE/FEV","Avenue de Gilamont 34, 1800 Vevey","2555014.8","1146187.6"
"Église Évangélique de Réveil Vevey","Vevey","VD","Évangélique réveil","UEER/FEV","Avenue des Crosets 40, 1800 Vevey","2554844.4","1146011.0"
"Armée du Salut – Poste de Vevey","Vevey","VD","Armée du Salut","AdS/FEV","Rue du Conseil 33, 1800 Vevey","2554236.1","1145815.5"
"All Saints Church Vevey","Vevey","VD","Anglicane évangélique","Diocèse Europe","Avenue de la Prairie 40, 1800 Vevey","2554205.1","1145782.4"
"Église CityLife Riviera","Vevey","VD","Évang. Mouvement Plus","MVT+/FEV","Avenue des Bosquets 31, 1800 Vevey","2555091.6","1146198.1"
"Gospel Center Montreux","Montreux","VD","Évangélique FREE","FREE/FEV","Grand-Rue 97 (Royal Plaza), 1820 Montreux","2559483.2","1142431.7"
"Église Viva Montreux","Montreux","VD","Évangélique Viva","Viva/FEV","Avenue des Alpes 94, 1820 Montreux","2559392.3","1142632.4"
"Église évangélique Le Cap","Aigle","VD","Évang. Mouvement Plus","MVT+/FEV","Place du Centenaire 3, 1860 Aigle","2564080.7","1129707.2"
