"nom","adresse","ville","type","E_LV95","N_LV95","lat_wgs84","lon_wgs84"
"Église Évangélique La Fraternelle","Rue Juste Olivier 6, 1260 Nyon","Nyon","Église évangélique","2507524","1137650","46.38383","6.2365258"
"Westlake Church","Rue Juste Olivier 6, 1260 Nyon","Nyon","Église","2507526","1137643","46.3837607","6.2365491"
"Église Néo-apostolique de Suisse Nyon","Rte de Saint-Cergue 91, 1260 Nyon","Nyon","Église néo-apostolique","2507244","1138754","46.3937209","6.2326598"
"Église Saint-Robert","Rte de Suisse 1, 1297 Founex","Founex","Église","2504595","1131280","46.3261221","6.1997579"
"Temple de Prangins","Av. Général Guiguer 4, 1197 Prangins","Prangins","Temple","2508566","1138825","46.3945348","6.2498325"
"Chapelle Saint-Jean-Baptiste","Rue de l'Abbaye 1196, 1196 Gland","Gland","Chapelle","2509808","1141905","46.4224103","6.2653709"
"Église De Begnins","Rue de l'Eglise 4, 1268 Begnins","Begnins","Église","2508766","1143968","46.4408217","6.2514142"
"Église catholique Saint-Joseph","Rle des Halles 1, 1180 Rolle","Rolle","Église","2515513","1145744","46.4576854","6.3388793"
"Temple De Rolle","Rte des Quatre-Communes 1180, 1180 Rolle","Rolle","Temple","2515316","1145842","46.4585436","6.3362981"
"Église de Mont-sur-Rolle","1185 Mont-sur-Rolle","Mont-sur-Rolle","Église","2515387","1147222","46.4709615","6.3369706"
"Église catholique Notre Dame","Chem. des Pommiers 50, 1170 Aubonne","Aubonne","Église","2519453","1149625","46.493081","6.3894778"
"Temple d'Aubonne","Pl. du Temple 20, 1170 Aubonne","Aubonne","Temple","2519660","1150031","46.496756","6.3921098"
"Église catholique Saint-Prothais","Rue de la Verrerie 4, 1162 Saint-Prex","Saint-Prex","Église","2524330","1148509","46.4836127","6.4531879"
"Église réformée de Saint-Prex","Rue du Motty 1, 1162 Saint-Prex","Saint-Prex","Église","2524726","1148264","46.4814571","6.4583835"
"Église catholique St François de Sales","Rue Louis de Savoie 31, 1110 Morges","Morges","Église","2527929","1151299","46.5091052","6.4996125"
"Paroisse catholique de Morges","Rue du Rond-Point 2, 1110 Morges","Morges","Église","2527964","1151283","46.5089681","6.5000685"
"Temple de Morges","Pl. de l'Eglise 2, 1110 Morges","Morges","Temple","2527969","1151493","46.5108526","6.5001089"
"L'Église de Tolochenaz","Chem. du Collège 3, 1131 Tolochenaz","Tolochenaz","Église","2525955","1150969","46.5059231","6.4739444"
"Église de Denges","Chem. de l'Eglise 6, 1026 Denges","Denges","Église","2530962","1152860","46.5234702","6.5388886"
"Église Évangélique de Lonay","Route de Préverenges 14, 1027 Lonay","Lonay","Église évangélique","2529762","1152677","46.5216955","6.5232823"
"Evangelische Stadtmission","Rte de la Chocolatière 11, 1026 Echandens","Echandens","Église","2531551","1154503","46.5383076","6.546331"
"Paroisse catholique de Renens","Av. de l'Église-Catholique 2, 1020 Renens","Renens","Église","2534452","1154524","46.5387878","6.5841358"
"Église AB Lausanne-Renens","Rue du Lac 33B, 1020 Renens","Renens","Église","2535023","1153210","46.5270188","6.5917685"
"Chapelle Catholique Ste Jeanne De Chantal","Rte d'Yverdon 14, 1028 Préverenges","Préverenges","Chapelle","2530099","1152345","46.5187415","6.5277312"
"Église Catholique Saint-Pierre","Rue du Jura 14, 1030 Bussigny","Bussigny","Église","2531918","1156154","46.5531911","6.5508687"
"Evangelical Church Lazare","Chem. du Vallon 24, 1030 Bussigny","Bussigny","Église évangélique","2532085","1155063","46.5434011","6.5532029"
"Centre de Paroisse Protestante","Rue du Temple 13, 1030 Bussigny","Bussigny","Temple","2532163","1156028","46.5520826","6.5540835"
"Temple de Bussigny","1030 Bussigny","Bussigny","Temple","2532130","1155944","46.5513246","6.5536628"
"Evangelical Church of Crissier 'The Hill'","Chem. de la Bossonaz 12, 1023 Crissier","Crissier","Église évangélique","2534770","1155625","46.5487179","6.5881313"
"L'Église de Jésus-Christ des Saints des Derniers Jours","Rte de Marcolet 21, 1023 Crissier","Crissier","Église","2533682","1154986","46.54287","6.57403"
"Temple de Crissier","Chem. du Casard 2, 1023 Crissier","Crissier","Temple","2534056","1156462","46.5561826","6.5787045"
"Cathédrale de Lausanne","Pl. de la Cathédrale 1, 1005 Lausanne","Lausanne","Cathédrale","2538326","1152696","46.5227113","6.6348879"
"Église Notre-Dame du Valentin","Rue Pré-du-Marché 2, 1004 Lausanne","Lausanne","Église","2538029","1152799","46.5236118","6.6310013"
"Église catholique romaine du Sacré-Cœur","Chem. de Beau-Rivage 3, 1006 Lausanne","Lausanne","Église","2537990","1151339","46.5104771","6.6306888"
"Église Saint-Laurent","Rue Saint-Laurent, 1003 Lausanne","Lausanne","Église","2538005","1152650","46.5222679","6.6307104"
"Église réformée Saint-François","Pl. Saint-François, 1003 Lausanne","Lausanne","Église","2538202","1152369","46.5197556","6.6333135"
"Cure catholique romaine Sainte-Thérèse","Chem. du Couchant 15, 1007 Lausanne","Lausanne","Église","2536332","1152419","46.5200307","6.6089327"
"Église du Centre","Place Chauderon 16, 1003 Lausanne","Lausanne","Église","2537608","1152845","46.5239903","6.6254992"
"C3 Lausanne","Av. Bergières 10, 1004 Lausanne","Lausanne","Église","2537434","1153453","46.5294352","6.6231584"
"Paroisse Saint-Jean","Avenue Edouard-Dapples 50, 1006 Lausanne","Lausanne","Église","2536355","1152142","46.517541","6.6092671"
"Paroisse catholique de St-Étienne","Rte d'Oron 10, 1010 Lausanne","Lausanne","Église","2539395","1153938","46.5339858","6.6486458"
"Église du Prieuré","Av. du Prieuré 2B, 1009 Pully","Pully","Église","2540383","1151177","46.509239","6.6618821"
"Temple de Lutry","Pl. du Temple 3, 1095 Lutry","Lutry","Temple","2542268","1150416","46.5025561","6.6865409"
"Église St-Martin","Rte de Taillepied, 1095 Lutry","Lutry","Église","2541523","1150778","46.5057466","6.6767852"
"Église catholique de Cully","Rte de la Corniche 18, 1096 Cully","Cully","Église","2545638","1149056","46.4906021","6.7305927"
"Temple de Cully","Pl. du Temple 2, 1096 Cully","Cully","Temple","2545547","1148847","46.4887167","6.7294388"
"Grandvaux Temple","Rle de l'Eglise 10, 1091 Grandvaux","Grandvaux","Temple","2544561","1149445","46.4940183","6.7165259"
"Paroisse de Bourg-en-Lavaux","Chem. de la Comète 2, 1096 Villette","Villette","Église","2544092","1149420","46.4937541","6.7104151"
"Église de Saint-Saphorin","Chem. du Mont, 1071 Saint-Saphorin","Saint-Saphorin","Église","2550650","1147103","46.4734306","6.7960844"
"Temple de Chexbres","Pl. de l'Eglise, 1071 Chexbres","Chexbres","Temple","2549244","1148099","46.482279","6.7776713"
"Chapelle de Puidoux","Chem. de la Chapelle, 1070 Puidoux","Puidoux","Chapelle","2549673","1149807","46.4976744","6.783073"
"Temple de Chardonne","1803 Chardonne","Chardonne","Temple","2553017","1147456","46.4767706","6.8268673"
"Paroisse de Corsier-Corseaux","Route de l'Eglise, 1804 Corsier-sur-Vevey","Corsier-sur-Vevey","Église","2554142","1146715","46.4701808","6.8415894"
"Chapelle de Paully","Chem. de Paully 6, 1801 Chardonne","Chardonne","Chapelle","2552007","1148870","46.4894243","6.8135694"
"Chapelle des Monts-de-Corsier","Rte de Châtel-Saint-Denis, 1808 Corsier-sur-Vevey","Corsier-sur-Vevey","Chapelle","2556873","1149948","46.4994447","6.8768406"
"Église Notre-Dame","Rue des Chenevières 6, 1800 Vevey","Vevey","Église","2554985","1145419","46.4585807","6.8526927"
"Église Orthodoxe Russe Sainte-Barbara","Rue des Communaux 12, 1800 Vevey","Vevey","Église orthodoxe","2554430","1145792","46.461902","6.845427"
"CityLife Riviera","Rue Jean-Jacques Rousseau 6, 1800 Vevey","Vevey","Église","2554099","1145714","46.4611805","6.8411227"
"Église de St. Jean","Rue de Fribourg 34, 1804 Vevey","Vevey","Église","2554385","1146575","46.4689399","6.8447626"
"Église Saint-Martin","Bvd de Saint-Martin 33, 1800 Vevey","Vevey","Église","2554553","1145815","46.4621175","6.8470282"
"Église Sainte-Claire","Rue Sainte-Claire 1, 1800 Vevey","Vevey","Église","2554640","1145473","46.4590458","6.848189"
"Église","Grand-Rue 38, 1814 La Tour-de-Peilz","La Tour-de-Peilz","Église","2555313","1144863","46.4536036","6.857015"
"Temple de La Tour-de-Peilz","1814 La Tour-de-Peilz","La Tour-de-Peilz","Temple","2555308","1144868","46.4536487","6.8569443"
"Chapelle catholique de Sainte-Croix","1807 Blonay","Blonay","Chapelle","2557821","1146442","46.4679681","6.8895047"
"Église de la Chiésaz","Chem. de l'Eglise, 1806 Saint-Légier","Saint-Légier-La Chiésaz","Église","2557403","1146822","46.4713607","6.8840355"
"Église Évangélique La Croisée","Rle de Borjaux 5, 1807 Blonay","Blonay","Église évangélique","2558305","1145956","46.4636323","6.8958578"
"Kirchgemeinde Est Vaudois","Av. des Alpes 63, 1820 Montreux","Montreux","Église","2559069","1143227","46.4391256","6.9060394"
"Église Viva Montreux","Av. des Alpes 94, 1820 Montreux","Montreux","Église","2559324","1143029","46.4373647","6.9093737"
"Église Saint-Vincent","Rue du Temple 30, 1820 Montreux","Montreux","Église","2560048","1142354","46.4313391","6.9188495"
"Église du Sacré-Cœur","Av. du Casino 30, 1820 Montreux","Montreux","Église","2559576","1142281","46.4306513","6.9127221"
"La Chapelle de Clarens","Rue William Thomi 1, 1815 Clarens","Clarens","Chapelle","2558100","1143509","46.4416068","6.8934061"
