stop_name,lat_wgs84,lon_wgs84,station_id,gtfs_stop_ids
"Lausanne, Parc Vélodrome",46.53602,6.623759,,8592088:
"Lausanne, Bois-Gentil",46.538663,6.622246,,8591996:
"Lausanne, Blécherette",46.542244,6.621136,,8591994:A
"Ecublens VD, EPFL/Colladon",46.518079,6.563595,,8510727:
"Ecublens VD, Campus des médias",46.517445,6.569747,,8511813:
"Ecublens VD, Champagne",46.518319,6.573,,8591945:
"Ecublens VD, Blévallaire",46.519566,6.57729,,8596053:
"Ecublens VD, allée de Dorigny",46.520483,6.582238,,8591950:
"Lausanne, Bourdonnette",46.523266,6.589805,,8501210:D
"Lausanne, Sablons",46.522384,6.595749,,8592114:
"Lausanne, Bois de Vaux",46.519427,6.599796,,8591995:
"Lausanne, Prélaz",46.52633,6.612488,,8592102:
"Lausanne, Recordon",46.525552,6.618013,,8592109:
"Lausanne, Boston",46.523895,6.62286,,8592001:
"Lausanne, Pont Chauderon",46.523232,6.624395,,8592096:F
"Lausanne, Cécil",46.520819,6.622855,,8592004:
"Lausanne, Tunnel",46.525445,6.634502,,8504176:B
"Lausanne, Mémise",46.527442,6.633234,,8592071:
"Lausanne, Grande-Borde",46.529942,6.631789,,8592053:
"Lausanne, Vieux-Moulin",46.53324,6.630097,,8592132:
"Lausanne, Chauderon",46.523595,6.62482,,8592010:B
"Lausanne, Druey",46.529843,6.627655,,8592033:
"St-Sulpice VD, Parc Scient.",46.516582,6.563782,,8595223:
"St-Sulpice VD, Pré-Fleuri",46.515219,6.560615,,8510528:
"Lausanne, Vinet",46.526402,6.628675,,8592135:
"Lausanne, Beaulieu-Jomini",46.527276,6.626394,,8592060:
"Lausanne, Beaulieu",46.52812,6.623605,,8591984:
"Lausanne, Presbytère",46.529058,6.62144,,8592104:
"Lausanne, Bergières",46.530737,6.618547,,8591992:
"Lausanne, Grey",46.533548,6.61913,,8592057:
"Lausanne, Pierrefleur",46.534682,6.616675,,8592094:
"Lausanne, Parc Rivier",46.536077,6.615455,,8592087:
"Lausanne, Désert",46.539868,6.612346,,8592030:
"Lausanne, Maladière-Lac",46.516194,6.60541,,8593838:
"Lausanne, Théâtre de Vidy",46.514188,6.611605,,8592121:
"Lausanne, Bellerive",46.511567,6.617339,,8591989:
"Lausanne, Pêcheurs",46.509796,6.620076,,8592090:
"Lausanne, Ouchy-Olympique",46.507469,6.626639,,8592086:
"Lausanne, Beau-Rivage",46.508302,6.6275,,8591986:
"Lausanne, Jordils",46.50993,6.627436,,8592061:
"Lausanne, Croix d'Ouchy",46.512033,6.629581,,8592026:
"Lausanne, Mont-Fleuri",46.514486,6.631785,,8592079:
"Lausanne, Closelet",46.515467,6.633074,,8592020:
"Lausanne, Boisy",46.533109,6.61941,,8591998:
"Lausanne, Villard",46.519556,6.623719,,8592134:
"Lausanne, St-Roch",46.525574,6.626133,,8592120:
"Lausanne, Mont-Blanc",46.530132,6.62695,,8592076:
"Lausanne, Rouvraie",46.532612,6.631645,,8592111:
"Lausanne, Motte",46.533201,6.633409,,8592082:
"Lausanne, Forêt",46.535548,6.633348,,8592047:
"Lausanne, Bellevaux",46.538899,6.63395,,8587357:A
"Lausanne, Entre-Bois",46.541071,6.631467,,8595004:
"Le Mont-sur-L., Rionzi/collège",46.544305,6.62999,,8511245:
"Le Mont-sur-L., Maillefer",46.542455,6.626726,,8595005:
"Lausanne, Hôpital ophtalmique",46.52551,6.622254,,8511845:
"Lausanne, Aubépines",46.52736,6.619276,,8591980:
"Lausanne, Dranse",46.530128,6.616445,,8592032:
"Lausanne, Béthanie",46.534587,6.613496,,8591993:
"Lausanne, Rapille",46.536548,6.612201,,8592107:
"Prilly, Mont-Goulin",46.538626,6.611061,,8592187:
"Prilly, Coudraie",46.54029,6.60968,,8592176:
"Lausanne, Faverges",46.513786,6.646038,,8592043:
"Lausanne, chemin du Cap",46.514628,6.649323,,8592012:
"Lausanne, Bonne-Espérance",46.515062,6.650426,,8591999:
"Lausanne, avenue du Léman",46.515698,6.645372,,8591981:
"Lausanne, Eglantine",46.51633,6.641883,,8592038:
"Lausanne, Eugène-Rambert",46.515279,6.648288,,8510574:
"Lausanne, Trabandan",46.514539,6.644411,,8592123:
"Lausanne, Gymnase de Beaulieu",46.527435,6.621801,,8592035:
"Lausanne, Chauderon-Ale",46.523801,6.627293,,8592011:C
"Lausanne, Bessières",46.520713,6.637075,,8589523:
"Lausanne, Ours",46.521242,6.640677,,8579237:
"Lausanne, Béthusy",46.521763,6.647003,,8588431:
"Lausanne, Allières/CHUV",46.523944,6.647571,,8591978:
"Lausanne, Virgile-Rossel",46.526155,6.64849,,8592136:
"Lausanne, Vallonnette",46.528458,6.648508,,8592126:
"Lausanne, Victor-Ruffy",46.531651,6.648487,,8592131:
"Lausanne, Sallaz",46.532814,6.646189,,8579238:A
"Lausanne, St-Etienne",46.534674,6.649051,,8592118:
"Lausanne, Valmont",46.535236,6.655411,,8592127:
"Lausanne, Foyer",46.533405,6.660037,,8579245:
"Lausanne, Boveresses",46.535481,6.663696,,8592002:
"Lausanne, Praz-Séchaud",46.537581,6.667017,,8592101:
"Lausanne, Figuiers",46.516844,6.610665,,8592044:
"Lausanne, Mont d'Or",46.516949,6.615146,,8592075:
"Lausanne, Fontenay",46.516697,6.618851,,8592046:
"Lausanne, Languedoc",46.517898,6.6171,,8592064:
"Lausanne, Pont Marc Dufour",46.519039,6.618099,,8592097:
"Prilly-Malley, Galicien",46.528283,6.603619,,8592049:F
"Lausanne, Halle de Sébeillon",46.52661,6.60804,,8592103:
"Lausanne, César-Roux",46.524223,6.637993,,8510575:
"Lausanne, Fauconnières",46.524499,6.649687,,8592042:
"Lausanne, Pont-de-Chailly",46.526115,6.651879,,8579255:
"Lausanne, Chailly-Village",46.52317,6.655219,,8588432:
"Lausanne, Coudrette",46.522406,6.658421,,8592023:
"Pully, Rosiaz",46.521599,6.662214,,8588434:
"Pully, Val-Vert",46.521892,6.666993,,8579256:
"Prilly-Malley, gare/aréna",46.528383,6.601638,,8510543:E
"Lausanne, Grangette",46.541359,6.633248,,8592055:
"Le Mont-sur-L., Rionzi",46.543448,6.632729,,8593249:
"Le Mont-sur-L., Martines",46.546333,6.631857,,8592143:
"Le Mont-sur-L., Côtes",46.549966,6.63162,,8592140:
"Le Mont-sur-L., Petit-Mont",46.553546,6.634149,,8587853:
"Le Mont-sur-L., Coppoz-Poste",46.556911,6.635455,,8593845:
"Le Mont-sur-L., Coppoz",46.559541,6.635951,,8579235:
"Le Mont-sur-L., Grand-Mont",46.563007,6.632508,,8504177:A
"Pully, gare",46.510321,6.658832,,8588445:B
"Pully, Joliette",46.509896,6.653236,,8592182:
"Pully, C. F. Ramuz",46.509537,6.648185,,8592172:
"Pully, Pierraz-Portay",46.509369,6.643484,,8592193:
"Pully, Métairie",46.51007,6.640816,,8592186:
"Lausanne, Montchoisi",46.511123,6.637021,,8592077:
"Lausanne, Jurigoz",46.51273,6.636541,,8592062:
"Lausanne, Alpes",46.515052,6.636716,,8591979:
"Lausanne, St-Paul",46.527215,6.617884,,8592119:
"Lausanne, Montétan",46.529235,6.614163,,8592078:
"Lausanne, Valency",46.531337,6.61132,,8592124:
"Prilly, Huttins",46.533237,6.60842,,8592181:
"Prilly, centre",46.534566,6.605227,,8592173:A
"Prilly, Corminjoz",46.537185,6.601957,,8592192:
"Renens VD, Temple de Broye",46.539295,6.597573,,8592178:
"Lutry, Corniche",46.500699,6.69408,,8592155:
"Lutry, Voisinand",46.503679,6.686326,,8592164:
"Lutry, Grand-Pont",46.504111,6.680979,,8592150:
"Paudex, Marronnier",46.505738,6.675419,,8592167:
"Paudex, village",46.506666,6.672917,,8592169:
"Pully, Moulins",46.50841,6.670013,,8592189:
"Pully, Reymondin",46.509245,6.665625,,8592195:
"Pully, Clergère",46.511207,6.661973,,8588446:H
