lat_wgs84,lon_wgs84,Name,Address,City,Rating,Phone_Type,Place_ID
46.2157049,6.1474692,digitec,"Rue de Lausanne 72, 1202 Genève",Geneva,4.4,New Electronics,ChIJ8_ZZwSFljEcR98bMRXoytvI
46.189354099999996,6.1311732999999995,MediaMarkt Carouge,"Rte des Acacias 43, 1227 Carouge",Geneva,3.9,New Electronics,ChIJi7TZXC97jEcRnviLIMq_C5w
46.2187665,6.1131166,Fnac Genève Balexert,"Av. Louis-Casaï 27, 1211 Genève",Geneva,4.1,New Electronics,ChIJ57Ox0ZdkjEcRg9Ctl4N-Y3E
46.2184946,6.1134591,Interdiscount Balexert,"Av. Louis-Casaï 27, 1209 Genève",Geneva,4.1,New Electronics,ChIJ57Ox0ZdkjEcRvqqUO-mCTmI
46.203424,6.157877,Keck Electronic S.A.,"Rue de la Mairie 3, 1207 Genève",Geneva,4.2,New Electronics,ChIJgbd3zTZljEcRfqZknnSKUQk
46.2025923,6.1482224,Interdiscount Croix-d'Or,"Rue de la Croix-d'Or 4, 1204 Genève",Geneva,4.3,New Electronics,ChIJDVbomi5ljEcReyVPJ9KM2Wk
46.202628999999995,6.150328,Fust Rive,"Rue de Rive 3, 1204 Genève",Geneva,4.3,New Electronics,ChIJW3pEci5ljEcRQ1aHkNVUjWc
46.211528,6.144778,Interdiscount Lausanne,"Rue de Lausanne 20, 1201 Genève",Geneva,4.3,New Electronics,ChIJZxOVMSdljEcRqaUbJo40bQ4
46.20406070000001,6.1375911,Digistore SA,"Rue de la Coulouvrenière 21, 1204 Genève",Geneva,4.5,New Electronics,ChIJjfVe7dZkjEcRBaCqp2s-qKg
46.209271099999995,6.143021699999999,Fust Cornavin,"Pl. de Cornavin 10, 1201 Genève",Geneva,4.1,New Electronics,ChIJ9V3_dydljEcRyXtYT7m6GNY
46.5266593,6.6043161,Digitec Galaxus Lausanne,"Rue du Grand-Pré 2B, 1007 Lausanne",Lausanne,3.9,New Electronics,ChIJSUdfPc8xjEcRuED_KcYTFiE
46.522742099999995,6.6303887999999995,Interdiscount Lausanne,"Rue Saint-Laurent 24/30, 1003 Lausanne",Lausanne,4.4,New Electronics,ChIJm5uuAi4ujEcRS_lYMNzzc48
46.5218346,6.62913,Fnac Lausanne,"Rue de Genève 6, 1003 Lausanne",Lausanne,4.0,New Electronics,ChIJm5U65C0ujEcRNbL9rzGYMvM
46.522155399999995,6.628671799999999,Interdiscount Bel-Air,"Pl. Bel-Air 1, 1003 Lausanne",Lausanne,4.1,New Electronics,ChIJv-b73y0ujEcRyrEmoYOOyyM
46.5177565,6.628457,Interdiscount Gare,"Pl. de la Gare 10, 1003 Lausanne",Lausanne,4.2,New Electronics,ChIJH79wTi0ujEcRr5dUARHLnsk
46.520784899999995,6.6316166,ART Computer Lausanne,"Place des Pionnières 1, 1003 Lausanne",Lausanne,4.3,New Electronics,ChIJpdo3QDIujEcRX6U6MWQpFSo
46.5210544,6.631406,Fust Lausanne Central,"place Centrale 1, 1003 Lausanne",Lausanne,4.0,New Electronics,ChIJpdo3QDIujEcRsG23lgABeG4
46.522661799999995,6.627206999999999,Fust Métropole,"Rue des Terreaux 25, 1003 Lausanne",Lausanne,4.2,New Electronics,ChIJK9kxhS4ujEcRm9HPLsQ4gHo
46.5317747,6.6109297,High Tech Computer,"Rte de Prilly 12C, 1004 Lausanne",Lausanne,4.5,New Electronics,ChIJF4YqR9sxjEcRrmrEBFajqQI
46.4314636,6.910384,Interdiscount Montreux,"Pl. du Marché 6B, 1820 Montreux",Montreux,4.5,New Electronics,ChIJ3aa-6QSbjkcRN37DkaAq59A
