rank,title,url,organization,relevance_score,spatial_score,name_match_score,thematic_score,usability_score,matched_places,matched_themes,formats,zurich_relevant,description
3157,Lignes et arrêts de transport public,https://opendata.swiss/en/dataset/lignes-et-arrets-de-transport-public,Geoinformation Canton Fribourg,22.94,30.0,0.0,43.75,20.0,,transport,SERVICE,False,Cette base de données contient l'ensemble des lignes et des arrêts de transport public du canton de Fribourg (Bus et Train uniquement). L'information est séparé en deux couches: - Lignes de transport 
3158,Axes des routes nationales,https://opendata.swiss/en/dataset/nationalstrassenachsen1,Canton du Valais - CC GEO,22.94,30.0,0.0,43.75,20.0,,"coworking, transport","API, SERVICE",False,Cartographie des axes des routes nationales selon l'Office fédéral des routes (OFROU)
3159,,https://opendata.swiss/en/dataset/klimaanalysekarte-kak-vertikalprofile-nacht,Géoinformation du canton de Lucerne,22.94,30.0,0.0,43.75,20.0,,"noise_environment, urban_planning",SERVICE,False,
3160,Cadastre de bruit pour les routes principales et les autres routes 2016,https://opendata.swiss/en/dataset/larmbelastungskataster-fur-haupt-und-ubrige-strassen-2016,Canton du Valais - CC GEO,22.94,30.0,0.0,43.75,20.0,,"noise_environment, urban_planning","API, SERVICE",False,Le cadastre de bruit routier donne un état des lieux de la situation actuelle concernant les nuisances sonores routières occasionnées sur les bâtiments à usage sensible et parcelles constructibles non
3161,,https://opendata.swiss/en/dataset/linked-swissbib-contents-from-swiss-libraries-as-linked-open-data,Swissbib,22.94,30.0,0.0,43.75,20.0,,"coworking, public_space",SERVICE,False,
3162,,https://opendata.swiss/en/dataset/friedensrichterkreise,Géoinformation du canton de Lucerne,22.94,30.0,0.0,43.75,20.0,,"coworking, public_space",SERVICE,False,
3163,Inventaire cantonal des points de conflits entre batraciens et trafic routier.,https://opendata.swiss/en/dataset/inventaire-cantonal-des-points-de-conflits-entre-batraciens-et-trafic-routier,Geoinformation Canton Fribourg,22.94,30.0,0.0,43.75,20.0,,"coworking, public_space",SERVICE,False,Observations ponctuelles des zones où les batraciens se font écraser par le trafic routier. Différentes catégories d'importance du conflit (élevé à conflit potentiel).
3164,Cartes pixel swisstopo - Anciennes cartes nationales (Fribourg),https://opendata.swiss/en/dataset/cartes-pixel-swisstopo-anciennes-cartes-nationales-fribourg,Geoinformation Canton Fribourg,22.94,30.0,0.0,43.75,20.0,,"coworking, public_space",SERVICE,False,Ces anciennes cartes nationales sont maintenant archivées et remplacées depuis 2015 par le nouveau produit swistopo Swiss Map Raster (SMR). Les cartes-pixel sont issues d'une transformation de l'image
3165,NPA - Localité du modèle MOPplusFR,https://opendata.swiss/en/dataset/theme-localite-de-la-mensuration-officielle-du-canton-de-fribourg,Geoinformation Canton Fribourg,22.94,30.0,0.0,43.75,20.0,,"public_space, urban_planning",SERVICE,False,"Le Topic «npa_localite» du modèle de données original de la mensuration officielle. Il comprend la délimitation de la localité, son nom officiel, le NPA à 4 chiffres ainsi que le chiffre complémentair"
3166,Agglo - Opérations d'aménagement,https://opendata.swiss/en/dataset/agglo-operations-damenagement,Canton de Genève,22.94,30.0,10.0,43.75,0.0,genève,urban_planning,,False,Inventaire des opérations d'aménagements et potentiels à bâtir d'une certaine importance (au moins 50 logements ou 5000 m2 de surface brute de plancher activités) selon : 1) Le mode d'urbanisation - R
3167,"Production thermique d'électricité en Suisse, installations de couplage chaleur-force (CCF) incluses",https://opendata.swiss/en/dataset/thermische-stromproduktion-inklusive-warmekraftkopplung-wkk-in-der-schweiz,Office fédéral de l'énergie OFEN,22.94,30.0,0.0,43.75,20.0,,"energy, public_space",SERVICE,False,"Cette statistique recense sur une base annuelle le parc des centrales thermiques, installations de couplage chaleur-force incluses, la puissance installée, les agents énergétiques utilisés et la produ"
