rank,title,url,organization,relevance_score,spatial_score,name_match_score,thematic_score,usability_score,matched_places,matched_themes,formats,zurich_relevant,description
1,Signalisation et stationnement,https://opendata.swiss/en/dataset/signalisation-et-stationnement,Ville de Morges,63.62,100.0,10.0,62.5,100.0,morges,"safety, transport, urban_planning","DXF, GPKG, SERVICE",False,Cadastre des infrastructures de la signalisation routière et du stationnement.
2,Stationnement,https://opendata.swiss/en/dataset/stationnement,Ville de Lausanne,57.38,100.0,10.0,37.5,100.0,lausanne,"public_space, transport","CSV, SERVICE, SHP",False,Données du stationnement public de la commune de Lausanne.  Contient les places de parcs et les zones macarons.
3,Répartition régionale gardes de l'environnement - postes,https://opendata.swiss/en/dataset/repartition-regionale-gardes-de-lenvironnement-postes,Canton de Genève,55.94,30.0,70.0,43.75,100.0,"bellevue, colovrex, genève, jussy, lancy, plan-les-ouates, trèfle-blanc","noise_environment, public_space","API, WFS",False,"REPARTITION REGIONALE DU CORPS DES GARDES DE L'ENVIRONNEMENT - POSTES Les ponctuels représentées permettent de situer les postes des gardes, positionnés sur leur adresse géoréférencées. Il existe aujo"
4,Horodateur,https://opendata.swiss/en/dataset/horodateur,Ville de Lausanne,52.69,100.0,10.0,18.75,100.0,lausanne,public_space,"CSV, SERVICE, SHP",False,Données des horodateurs de la commune de Lausanne. Contient les emplacements géographiques des horodateurs.
5,Mobilier urbain,https://opendata.swiss/en/dataset/mobilier-urbain,Ville de Lausanne,52.69,100.0,10.0,18.75,100.0,lausanne,public_space,"CSV, SERVICE, SHP",False,Données du mobilier urbain de la commune de Lausanne.  Contient les emplacements géographiques des bancs publics.
6,Hiérarchie routière,https://opendata.swiss/en/dataset/hierarchie-routiere,Ville de Lausanne,52.69,100.0,10.0,18.75,100.0,lausanne,digital,"CSV, GPKG, SERVICE",False,Hiérarchie du réseau routier digitalisée sur le jeu de données swissTLM3D (strasse).
7,Bornes de recharge disponibles pour les véhicules électriques,https://opendata.swiss/en/dataset/ladestationen,Secrétariat des tâches du système d’information à la clientèle (CFF SA),52.0,30.0,10.0,100,100.0,les bornes,"coworking, energy, transport",JSON,False,"www.je-recharge-mon-auto.ch indique en temps réel les bornes de recharge disponibles pour les véhicules électriques.  Avec l’application interactive www.je-recharge-mon-auto.ch, les exploitants de bor"
8,Collection de photographies Max van Berchem,https://opendata.swiss/en/dataset/bildersammlung-max-van-berchem1,Bibliothèque nationale suisse BN,52.0,30.0,10.0,100,100.0,genève,"coworking, population, public_space, tourism_heritage, urban_planning","CSV, JSON, ZIP",False,"Max van Berchem, né en 1863 à Genève, était un historien et orientaliste, spécialiste de l’épigraphie arabe. Il a effectué plusieurs expéditions scientifiques en Egypte, en Palestine, en Syrie et en T"
9,Refpu place stationnement (point),https://opendata.swiss/en/dataset/refpu-place-stationnement-point,Canton de Genève,52.0,30.0,10.0,100,100.0,genève,"coworking, public_space, tourism_heritage, transport, urban_planning","API, WFS",False,Le référentiel des projets urbains (RefPU) est la version numérique des plans d'affectations produits par l'autorité compétente en matière d'aménagement du territoire du canton de Genève. Pour l'heure
10,REFPU Place Stationnement Adopté (point),https://opendata.swiss/en/dataset/refpu-place-stationnement-adopte-point,Canton de Genève,52.0,30.0,10.0,100,100.0,genève,"coworking, public_space, tourism_heritage, transport, urban_planning","API, WFS",False,Le référentiel des projets urbains (RefPU) est la version numérique des plans d'affectations produits par l'autorité compétente en matière d'aménagement du territoire du canton de Genève. Pour l'heure
11,Exposition au bruit du trafic ferroviaire (Lr_jour),https://opendata.swiss/en/dataset/larmbelastung-durch-eisenbahnverkehr-lr_tag,Office fédéral de l'environnement OFEV,52.0,40.0,0.0,100,100.0,,"noise_environment, population, safety, transport, urban_planning","HTML, SERVICE, WMS, WMTS",True,"La carte montre l'exposition de la population au bruit ferroviaire diurne. Le calcul du bruit est fondé sur les données relatives aux émissions effectives de l’année 2021, telles qu’elles figurent dan"
12,Stations de mesure Température de l’eau,https://opendata.swiss/en/dataset/messstationen-wassertemperatur,Office fédéral de l'environnement OFEV,52.0,40.0,0.0,100,100.0,,"coworking, noise_environment, safety, transport","API, HTML, SERVICE, WMS, WMTS",False,Cette série de données regroupe toutes les stations de mesure de la division Hydrologie de l’Office fédéral de l’environnement (OFEV) où la température de l’eau fait actuellement l’objet d’un relevé. 
13,Migration d‘amphibiens avec conflits avec la circulation,https://opendata.swiss/en/dataset/amphibienwanderungen-mit-verkehrskonflikten,Office fédéral de l'environnement OFEV,52.0,40.0,0.0,100,100.0,,"noise_environment, population, public_space, safety, transport","API, GDB, HTML, SERVICE, SHP, WMS, WMTS, ZIP",False,"Depuis le milieu des années 1950, la mortalité des amphibiens sur les routes a augmenté de façon spectaculaire. Chaque année, en Suisse, des centaines de milliers d'amphibiens traversent des routes lo"
14,"Choix d'indicateurs en comparaison internationale, 2021",https://opendata.swiss/en/dataset/ausgewahlte-indikatoren-im-internationalen-vergleich-2021,Office fédéral de la statistique OFS,52.0,40.0,0.0,100,100.0,,"energy, noise_environment, population, safety, tourism_heritage, transport","CSV, HTML, ODS",False,"Ce dataset présente les données annuelles d'un choix d'indicateurs sur les thèmes de la population, de l'espace et de l'environnement, du travail, de l'économie, des prix, de l'énergie, du tourisme, d"
15,Potentiel des lacs et des rivières par rapport au prélèvement et au déversement de chaleur,https://opendata.swiss/en/dataset/potenzial-der-seen-und-flusse-fur-warmeentzug-und-warmeeinleitung,Office fédéral de l'énergie OFEN,52.0,40.0,0.0,100,100.0,,"energy, noise_environment, population, tourism_heritage","API, GPKG, SERVICE, WMS",False,"L’exploitation des lacs et des rivières en tant que source d’énergie thermique n’est guère développée malgré le grand potentiel qu’elle recèle. En Suisse, cette source d’énergie renouvelable pourrait "
16,Situation et domaines attenants conformément à l'ordonnance sur la protection contre les accidents majeurs (OPAM): domaine des installations de transport par conduites,https://opendata.swiss/en/dataset/lage-und-angrenzende-bereiche-gemass-storfallverordnung-im-bereich-rohrleitungsanlagen,Office fédéral de l'énergie OFEN,52.0,40.0,0.0,100,100.0,,"coworking, energy, noise_environment, population, safety, transport","SERVICE, WMS, WMTS, ZIP",False,"L'ordonnance sur les accidents majeurs (OPAM, RS 814.012) a pour but de protéger la population et l'environnement des graves dommages résultant d'accidents majeurs. Elle règle l'application responsabl"
17,Refpu place stationnement (surface),https://opendata.swiss/en/dataset/refpu-place-stationnement-surface,Canton de Genève,52.0,30.0,10.0,100,100.0,genève,"coworking, public_space, tourism_heritage, transport, urban_planning","API, WFS",False,Le référentiel des projets urbains (RefPU) est la version numérique des plans d'affectations produits par l'autorité compétente en matière d'aménagement du territoire du canton de Genève. Pour l'heure
18,REFPU Place Stationnement Adopté (Surface),https://opendata.swiss/en/dataset/refpu-place-stationnement-adopte-surface,Canton de Genève,52.0,30.0,10.0,100,100.0,genève,"coworking, public_space, tourism_heritage, transport, urban_planning","API, WFS",False,Le référentiel des projets urbains (RefPU) est la version numérique des plans d'affectations produits par l'autorité compétente en matière d'aménagement du territoire du canton de Genève. Pour l'heure
19,Refpu Passage Mobilité Douce (Ligne),https://opendata.swiss/en/dataset/refpu-passage-mobilite-douce-ligne,Canton de Genève,50.44,30.0,10.0,93.75,100.0,genève,"coworking, tourism_heritage, transport, urban_planning","API, WFS",False,Le référentiel des projets urbains (RefPU) est la version numérique des plans d'affectations produits par l'autorité compétente en matière d'aménagement du territoire du canton de Genève. Pour l'heure
20,Installations électriques d’une tension nominale supérieure à 36 kV,https://opendata.swiss/en/dataset/elektrische-anlagen-mit-einer-nennspannung-von-uber-36-kv,Office fédéral de l'énergie OFEN,50.44,30.0,10.0,93.75,100.0,le mail,"energy, public_space, safety, transport","API, GPKG, INTERLIS, SERVICE, SHP, WFS, WMS",False,"Le réseau électrique établit la liaison entre producteurs et consommateurs d’énergie électrique. Il permet de transporter l’électricité, de la transformer (augmenter ou diminuer la tension) et de la d"
21,Carte De Hondt 1630,https://opendata.swiss/en/dataset/carte-de-hondt-1630,Canton de Genève,50.31,30.0,60.0,81.25,20.0,"borne, genève, la borne, mies, vernier, versoix","coworking, energy, public_space, tourism_heritage",API,False,"Cette version est un exemplaire partiellement coloré de la carte de Josse II de Hondt. La mise en couleur permet notamment de souligner les divisions territoriales, marquées par un simple traitillé su"
22,L'architecture à Genève 1919 - 1975,https://opendata.swiss/en/dataset/larchitecture-a-geneve-1919-19751,Canton de Genève,50.31,30.0,20.0,81.25,100.0,"genève, lausanne","coworking, tourism_heritage, urban_planning","API, SERVICE, WFS",False,"Carte des bâtiments construit entre 1919 et 1975. L'architecture à Genève 1919-1975, est un ouvrage en deux volumes publié en 1999 et réédité en 2005 par l'office du patrimoine et des sites (OPS) du d"
23,Zone de lutte et de surveillance fourmis Tapinoma,https://opendata.swiss/en/dataset/zone-de-lutte-et-de-surveillance-fourmis-tapinoma1,Canton de Genève,50.31,30.0,20.0,81.25,100.0,"genève, la fourmi","population, public_space, transport, urban_planning","API, SERVICE, WFS",False,La fourmi Tapinoma magnum est une espèce exotique envahissante dont les observations se multiplient dans le canton depuis sa découverte en 2018. Afin de limiter les nuisances pour la population et l'i
24,Autorisations des prélèvements d'eau dans le lac et les cours d'eau,https://opendata.swiss/en/dataset/autorisations-des-prelevements-deau-dans-le-lac-et-les-cours-deau1,Canton de Genève,49.81,30.0,60.0,31.25,100.0,"chancy, genève, seujet, sur le rhône, verbois, vessy",tourism_heritage,"API, SERVICE, WFS",False,"Tous les prélèvements d'eau dans les cours d'eau, que ce soit pour usages hydrothermique, industriel ou agricole, sont soumis à une autorisation ou à une concession. Les éléments constituants cette co"
25,Mobilité douce - la Suisse à vélo,https://opendata.swiss/en/dataset/langsamverkehr-veloland-schweiz,Office fédéral des routes OFROU,49.0,30.0,0.0,100,100.0,,"coworking, tourism_heritage, transport, urban_planning","API, HTML, SERVICE, WMS, WMTS",False,"""La Suisse à vélo"" fait partie de SuisseMobile et comprends les itinéraires nationaux, régionaux et locaux pour vélos en Suisse et au Liechtenstein. Ce jeu de donnée est publié en tant que partie des "
26,Statistique des villes suisses 2020,https://opendata.swiss/en/dataset/statistics-on-swiss-cities-and-towns-2020,Office fédéral de la statistique OFS,49.0,30.0,0.0,100,100.0,,"coworking, energy, population, public_space, safety, tourism_heritage, transport","CSV, XLS",False,"Publiée pour la 5e fois conjointement avec l’Office fédéral de la statistique (OFS), la 81e édition des Statistiques des villes suisses est disponible en versions imprimée, PDF et numérique interactiv"
27,Chiffres-clés concernant l’infrastructure de recharge pour la mobilité électrique,https://opendata.swiss/en/dataset/kennzahlen-offentliche-ladeinfrastruktur-elektromobilitat,Office fédéral de l'énergie OFEN,49.0,30.0,0.0,100,100.0,,"energy, noise_environment, transport","CSV, JSON",False,La mobilité électrique est une technologie essentielle pour assurer une mobilité plus durable. Elle contribue à l’atteinte des objectifs énergétiques et de politique climatique dans la mesure où les m
28,Géolocalisation et disponibilité en temps réel d'offres de mobilité partagée,https://opendata.swiss/en/dataset/standorte-und-verfugbarkeit-von-shared-mobility-angeboten,Office fédéral de l'énergie OFEN,49.0,30.0,0.0,100,100.0,,"energy, population, public_space, tourism_heritage, transport","API, JSON, SERVICE",False,"La mobilité partagée désigne l'utilisation commune et partagée de moyens de transport tels que la voiture, le taxi, le vélo, le vélo électrique, le cargobike, le scooter/la trottinette électrique, etc"
29,Cadastre des sites pollués – domaine des transports publics (CSP OFT),https://opendata.swiss/en/dataset/kataster-der-belasteten-standorte-im-bereich-des-offentlichen-verkehrs-kbs-bav,Office fédéral des transports OFT,49.0,30.0,0.0,100,100.0,,"coworking, noise_environment, transport, urban_planning","API, SERVICE, WMS",False,"Cadastre public des sites pollués dans le domaine des transports publics. Le cadastre fournit des renseignements sur les sites pollués (selon l’ordonnance sur l’assainissement des sites pollués), qui "
30,Statistique des surfaces d’assolement en Suisse 2023,https://opendata.swiss/en/dataset/statistik-der-fruchtfolgeflachen-schweiz-2023,Office fédéral du développement territorial ARE,49.0,30.0,0.0,100,100.0,,"coworking, energy, population, transport, urban_planning","GPKG, HTML, XLS",False,La statistique des surfaces d'assolement en Suisse se base sur les géodonnées cantonales relatives aux surfaces d'assolement et mises à disposition par les offices cantonaux en charge de l'aménagement
31,Objets cantonaux de protection du patrimoine immobilier,https://opendata.swiss/en/dataset/kantonale-denkmalschutzobjekte1,Office de l'information géographique du canton de Berne,49.0,30.0,0.0,100,100.0,,"coworking, population, tourism_heritage, urban_planning","GPKG, PARQUET, SHP",False,Thème du cadastre RDPPF Les monuments historiques dont la rénovation fait l’objet d’une aide financière des pouvoirs publics (canton de Berne et/ou Confédération) sont en principe placés sous la prote
32,Statistiques des villes suisses 2021,https://opendata.swiss/en/dataset/statistik-der-schweizer-staedte-2021,Office fédéral de la statistique OFS,49.0,30.0,0.0,100,100.0,,"coworking, energy, population, safety, tourism_heritage, transport, urban_planning","CSV, ODS",False,"Publiée pour la 6e fois conjointement avec l’Office fédéral de la statistique (OFS), la 82e édition des Statistiques des villes suisses est disponible en versions imprimée, PDF et numérique interactiv"
33,Données en temps réel sur les votations fédérales - État des communes à la date de la votation,https://opendata.swiss/en/dataset/echtzeitdaten-zu-den-eidgenossischen-abstimmungen-gemeindestand-am-datum-der-abstimmung,Office fédéral de la statistique OFS,49.0,30.0,0.0,100,100.0,,"coworking, energy, population, public_space, transport",JSON,False,Un service web pour des résultats en temps réel le dimanche de votations. Les données sont mises à jour en continu sur la base des résultats communaux livrés par tous les cantons. Les données sont mis
34,Des données en temps réel sur les votations fédérales,https://opendata.swiss/en/dataset/echtzeitdaten-am-abstimmungstag-zu-eidgenoessischen-abstimmungsvorlagen,Office fédéral de la statistique OFS,49.0,30.0,0.0,100,100.0,,"coworking, energy, population, public_space, transport",JSON,False,Un service web pour des résultats en temps réel le dimanche de votations. Les données sont mises à jour en continu sur la base des résultats communaux livrés par tous les cantons. Les données sont mis
35,Nombre de points de recharge accessibles à tous dans l'univers de recharge « Planifié » pour 2035,https://opendata.swiss/en/dataset/ladebedarf-anzahl-allgemein-zugangliche-ladepunkte-in-der-ladewelt-geplant-fur-das-jahr-2035,Office fédéral de l'énergie OFEN,49.0,30.0,0.0,100,100.0,,"energy, noise_environment, population, transport","API, CSV, GPKG, HTML, SERVICE, WMS, WMTS",False,La carte montre le nombre de points de recharge accessibles à tous qui devraient être disponibles dans la commune sélectionnée en 2035 pour répondre aux besoins de recharge. Un point de charge est une
36,Nombre de points de recharge accessibles à tous dans l'univers de recharge « Flexible » pour l'année 2035,https://opendata.swiss/en/dataset/ladebedarf-anzahl-allgemein-zugangliche-ladepunkte-in-der-ladewelt-flexibel-fur-das-jahr-2035,Office fédéral de l'énergie OFEN,49.0,30.0,0.0,100,100.0,,"energy, noise_environment, population, transport","API, CSV, GPKG, HTML, SERVICE, WMS, WMTS",False,La carte montre le nombre de points de recharge accessibles à tous qui devraient être disponibles dans la commune sélectionnée en 2035 pour répondre aux besoins de recharge. Un point de charge est une
37,Nombre de points de recharge accessibles à tous dans l'univers de recharge «confortable» pour l'année 2035,https://opendata.swiss/en/dataset/ladebedarf-anzahl-allgemein-zugangliche-ladepunkte-in-der-ladewelt-bequem-fur-das-jahr-2035,Office fédéral de l'énergie OFEN,49.0,30.0,0.0,100,100.0,,"energy, noise_environment, population, transport","API, CSV, GPKG, HTML, SERVICE, WMS, WMTS",False,La carte montre le nombre de points de recharge accessibles à tous qui devraient être disponibles dans la commune sélectionnée en 2035 pour répondre aux besoins de recharge. Un point de charge est une
38,Exposition au bruit du trafic ferroviaire (Lr_nuit),https://opendata.swiss/en/dataset/larmbelastung-durch-eisenbahnverkehr-lr_nacht,Office fédéral de l'environnement OFEV,49.0,30.0,0.0,100,100.0,,"noise_environment, population, safety, transport, urban_planning","HTML, SERVICE, WMS, WMTS",True,"La carte montre l'exposition de la population au bruit ferroviaire pendant la nuit. Le calcul du bruit est fondé sur les données relatives aux émissions effectives de l’année 2021, telles qu’elles fig"
39,Cadastre des sites pollués – domaine des aérodromes civils (CSP OFAC),https://opendata.swiss/en/dataset/kataster-der-belasteten-standorte-im-bereich-der-zivilen-flugplatze-kbs-bazl,Office fédéral de l'aviation civile OFAC,49.0,30.0,0.0,100,100.0,,"noise_environment, public_space, safety, urban_planning","API, INTERLIS, SERVICE, WMS",False,"Cadastre public des sites pollués dans le périmètre des aérodromes civils. Le cadastre renseigne dans la mesure du possible sur l’emplacement, le type et la quantité de déchets présents sur le site, s"
40,Cadastre des sites pollués – domaine des aérodromes civils (CSP OFAC) V2.0 RDPPF,https://opendata.swiss/en/dataset/kataster-der-belasteten-standorte-im-bereich-der-zivilen-flugplatze-kbs-bazl-v2-0-oereb,Office fédéral de l'aviation civile OFAC,49.0,30.0,0.0,100,100.0,,"noise_environment, public_space, safety, urban_planning","INTERLIS, WMS",False,"Cadastre public des sites pollués dans le périmètre des aérodromes civils. Le cadastre renseigne dans la mesure du possible sur l’emplacement, le type et la quantité de déchets présents sur le site, s"
41,Disponibilité de la recharge à domicile dans le monde de la recharge « Planifié » pour l'année 2035,https://opendata.swiss/en/dataset/ladebedarf-heimladeverfugbarkeit-in-der-ladewelt-geplant-fur-das-jahr-2035,Office fédéral de l'énergie OFEN,49.0,30.0,0.0,100,100.0,,"energy, noise_environment, population, transport","API, CSV, GPKG, HTML, SERVICE, WMS, WMTS",False,"La carte montre, pour chaque commune sélectionnée, le pourcentage de véhicules branchés (véhicules électriques à batterie et hybrides rechargeables) qui n'auront pas de possibilité de recharge à domic"
42,Disponibilité de la recharge à domicile dans le monde de la recharge « Confortable » pour l'année 2035,https://opendata.swiss/en/dataset/ladebedarf-heimladeverfugbarkeit-in-der-ladewelt-bequem-fur-das-jahr-2035,Office fédéral de l'énergie OFEN,49.0,30.0,0.0,100,100.0,,"energy, noise_environment, population, transport","API, CSV, GPKG, HTML, SERVICE, WMS, WMTS",False,"La carte montre, pour chaque commune sélectionnée, le pourcentage de véhicules branchés (véhicules électriques à batterie et hybrides rechargeables) qui n'auront pas de possibilité de recharge à domic"
43,Disponibilité de la recharge à domicile dans le monde de la recharge « Flexible » pour l'année 2035,https://opendata.swiss/en/dataset/ladebedarf-heimladeverfugbarkeit-in-der-ladewelt-flexibel-fur-das-jahr-2035,Office fédéral de l'énergie OFEN,49.0,30.0,0.0,100,100.0,,"energy, noise_environment, population, transport","API, CSV, GPKG, HTML, SERVICE, WMS, WMTS",False,"La carte montre, pour chaque commune sélectionnée, le pourcentage de véhicules branchés (véhicules électriques à batterie et hybrides rechargeables) qui n'auront pas de possibilité de recharge à domic"
44,Besoin de recharge : parc de véhicules branchés pour l'année 2035,https://opendata.swiss/en/dataset/ladebedarf-bestand-an-steckerfahrzeugen-fur-das-jahr-2035,Office fédéral de l'énergie OFEN,49.0,30.0,0.0,100,100.0,,"energy, noise_environment, population, public_space, tourism_heritage, transport","API, CSV, GPKG, HTML, SERVICE, WMS, WMTS",False,"La carte montre, pour chaque commune sélectionnée, la part des véhicules électriques par rapport à toutes les voitures immatriculées (en %). En outre, le nombre de véhicules existants (voitures de tou"
45,Besoin en électricité dans l'univers de recharge « Confortable » pour les véhicules branchés pour l'année 2035,https://opendata.swiss/en/dataset/ladebedarf-strombedarf-fur-steckerfahrzeuge-fur-das-jahr-2035,Office fédéral de l'énergie OFEN,49.0,30.0,0.0,100,100.0,,"energy, noise_environment, population, transport","API, CSV, GPKG, HTML, SERVICE, WMS, WMTS",False,"La carte montre, pour chaque commune sélectionnée, le pourcentage de l'énergie électrique qui sera chargée à domicile en 2035 selon le monde de la recharge « Bequem ». De plus, le besoin total en élec"
46,REFPU Réservation Environnement (point),https://opendata.swiss/en/dataset/refpu-reservation-environnement-point,Canton de Genève,48.88,30.0,10.0,87.5,100.0,genève,"coworking, noise_environment, tourism_heritage, urban_planning","API, WFS",False,Le référentiel des projets urbains (RefPU) est la version numérique des plans d'affectations produits par l'autorité compétente en matière d'aménagement du territoire du canton de Genève. Pour l'heure
47,REFPU - Réservation environnement adoptée (point),https://opendata.swiss/en/dataset/refpu-reservation-environnement-adoptee-point,Canton de Genève,48.88,30.0,10.0,87.5,100.0,genève,"coworking, noise_environment, tourism_heritage, urban_planning","API, WFS",False,Le référentiel des projets urbains (RefPU) est la version numérique des plans d'affectations produits par l'autorité compétente en matière d'aménagement du territoire du canton de Genève. Pour l'heure
48,Cadastres de bruit pour les aérodromes civils,https://opendata.swiss/en/dataset/larmbelastungskataster-fur-zivile-flugplatze,Office fédéral de l'aviation civile OFAC,48.88,40.0,0.0,87.5,100.0,,"energy, noise_environment, public_space, urban_planning","GPKG, HTML, INTERLIS, WMS",False,"La législation environnementale suisse (OPB, RS 814.41) impose de déterminer et de décrire l'exposition au bruit générée par les installations aéroportuaires bruyantes. L'exposition au bruit est repré"
49,REFPU Réservation environnement (surface),https://opendata.swiss/en/dataset/refpu-reservation-environnement-surface,Canton de Genève,48.88,30.0,10.0,87.5,100.0,genève,"coworking, noise_environment, tourism_heritage, urban_planning","API, WFS",False,Le référentiel des projets urbains (RefPU) est la version numérique des plans d'affectations produits par l'autorité compétente en matière d'aménagement du territoire du canton de Genève. Pour l'heure
50,REFPU Réservation environnement adopté (surface),https://opendata.swiss/en/dataset/refpu-reservation-environnement-adopte-surface,Canton de Genève,48.88,30.0,10.0,87.5,100.0,genève,"coworking, noise_environment, tourism_heritage, urban_planning","API, WFS",False,Le référentiel des projets urbains (RefPU) est la version numérique des plans d'affectations produits par l'autorité compétente en matière d'aménagement du territoire du canton de Genève. Pour l'heure
51,Zones LMCE,https://opendata.swiss/en/dataset/zones-lmce,Canton de Genève,48.75,30.0,20.0,75.0,100.0,"en premi, genève","public_space, transport, urban_planning","API, WFS",False,Cette donnée représente les zones différenciées des modes de transports selon la Loi pour une mobilité cohérente et équilibrée (LMCE). Les explications ci-dessous sont extraites de la loi. Par prioris
52,RDPPF - Zones protégées,https://opendata.swiss/en/dataset/rdppf-zones-protegees1,Canton de Genève,48.75,30.0,20.0,75.0,100.0,"genève, la vieille","tourism_heritage, urban_planning","API, SERVICE, WFS",False,Les zones protégées sont définies aux articles 28 et 29 de la loi d'application de la loi fédérale sur l'aménagement du territoire (LaLAT). Les zones protégées sont les suivantes: - la zone de la Viei
53,Macrophytes du lac - Herbier,https://opendata.swiss/en/dataset/macrophytes-du-lac-herbier1,Canton de Genève,48.5,30.0,40.0,50.0,100.0,"corsier, genève, les monts, monts de corsier","tourism_heritage, transport","API, SERVICE, WFS",False,"La végétation aquatique immergée, incluant les plantes vasculaires et les characées a été recensée du 11 juillet au 15 août 2016 dans le littoral genevois du Léman. Jusqu'à une profondeur de 10 mètres"
54,Secteurs statistiques,https://opendata.swiss/en/dataset/secteurs-statistiques,Ville de Lausanne,48.0,100.0,10.0,0.0,100.0,lausanne,,"SERVICE, SHP",False,Cette couche contient le découpage de la ville de Lausanne en 84 secteurs statistiques.  Les données ventilées à l'échelle infra-communale sont disponibles dans le portail statistique de la ville.    
55,Quartiers statistiques,https://opendata.swiss/en/dataset/quartiers-statistiques,Ville de Lausanne,48.0,100.0,10.0,0.0,100.0,lausanne,,"SERVICE, SHP",False,Cette couche contient le découpage de la ville de Lausanne en 18 quartiers statistiques.    Les données ventilées à l'échelle infra-communale sont disponibles sur le portail statistique officiel.    h
56,Marquage routier,https://opendata.swiss/en/dataset/marquage-routier,Ville de Lausanne,48.0,100.0,10.0,0.0,100.0,lausanne,,"CSV, SERVICE, SHP",False,Données du marquage routier de la commune de Lausanne.  Contient le balisage au sol.
57,Parkings à bicyclette,https://opendata.swiss/en/dataset/bike-parking,Secrétariat des tâches du système d’information à la clientèle (CFF SA),47.44,30.0,0.0,93.75,100.0,,"public_space, transport",JSON,False,**IMPORTANT: Ce jeu de données sera supprimé le 30 juin 2026. Veuillez utiliser la nouvelle version du jeu de données disponible sur**  https://data.opentransportdata.swiss/dataset/bike-and-car-parkin
58,Mobilité douce - la Suisse à VTT,https://opendata.swiss/en/dataset/langsamverkehr-mountainbikeland-schweiz,Office fédéral des routes OFROU,47.44,30.0,0.0,93.75,100.0,,"coworking, tourism_heritage, transport, urban_planning","API, HTML, SERVICE, WMS, WMTS",False,"""La Suisse à VTT"" fait partie de SuisseMobile et comprends les itinéraires nationaux, régionaux et locaux pour VTT en Suisse et au Liechtenstein. Ce jeu de donnée est publié en tant que partie des géo"
59,Mobilité douce - la Suisse à pied,https://opendata.swiss/en/dataset/langsamverkehr-wanderland-schweiz,Office fédéral des routes OFROU,47.44,30.0,0.0,93.75,100.0,,"coworking, tourism_heritage, transport, urban_planning","API, HTML, SERVICE, WMS, WMTS",False,"""La Suisse à pied"" fait partie de SuisseMobile et comprends les itinéraires nationaux, régionaux et locaux pour la randonnée pédestre et en montagne ainsi que les chemins sans obstacles en Suisse et a"
60,Commerces de vélo,https://opendata.swiss/en/dataset/velogeschafte,Infrastructures et mobilité Ville de Bienne,47.44,30.0,0.0,93.75,100.0,,"population, transport, urban_planning","DXF, GEOJSON, GPKG, XLS",False,Le cadastre des commerces de vélo permet de compléter les différentes données liées aux « Offres de mobilité » qui sont présentes sur le territoire communal biennois. Il renseigne sur les principaux e
61,,https://opendata.swiss/en/dataset/parkierung,Canton de Bâle-Ville,47.44,30.0,0.0,93.75,100.0,,"energy, public_space, transport","SERVICE, WFS, WMS",False,
62,Projets pilotes et de démonstration actuels de l'Office fédéral de l'énergie,https://opendata.swiss/en/dataset/cleantech-pilot-demonstrations-und-leuchtturmprojekte,Office fédéral de l'énergie OFEN,47.44,30.0,0.0,93.75,100.0,,"coworking, energy, population, public_space","API, CSV, GPKG, INTERLIS, SERVICE, WMS, WMTS",False,"L'Office fédéral de l'énergie (OFEN) encourage le développement et l'expérimentation de nouvelles technologies, solutions et approches dans les domaines de l'utilisation économe et efficace de l'énerg"
63,OAC Office de l’assurance-chômage,https://opendata.swiss/en/dataset/regionale-arbeitsvermittlungszentren-rav-und-zahlstellen-der-arbeitslosenkasse,Office de l'information géographique du canton de Berne,47.44,30.0,0.0,93.75,100.0,,"coworking, population, public_space","GPKG, PARQUET, SHP",False,"Pour la clientèle, le premier point de contact dans les emplacements d'OAC est le guichet d’information commun (Infodesk) d'Office régional de placement (ORP) et de la Caisse de chômage (CCh). L'Offic"
64,Marché suisse de l’éclairage,https://opendata.swiss/en/dataset/licht-markt-schweiz,Office fédéral de l'énergie OFEN,47.44,30.0,0.0,93.75,100.0,,"coworking, energy, public_space, safety","CSV, SERVICE",False,"L'Association suisse pour l'éclairage (SLG) a été chargée par l'Office fédéral de l'énergie (OFEN) de collecter chaque année, entre 2014 et 2022, les chiffres de vente de lampes et de luminaires en Su"
65,Registre fédéral des bâtiments et des logements: source d'énergie/de chaleur du chauffage,https://opendata.swiss/en/dataset/eidg-gebaude-und-wohnungsregister-energie-warmequelle-heizung,Office fédéral de la statistique OFS,47.44,30.0,0.0,93.75,100.0,,"energy, population, urban_planning","API, SERVICE, WMS, WMTS",False,"Le Registre fédéral des bâtiments et logements (RegBL), a été créé sur la base des informations issues du recensement de la population 2000 pour des fins statistiques. Le RegBL s’est également imposé "
66,Antennes de téléphonie mobile,https://opendata.swiss/en/dataset/antennes-de-telephonie-mobile1,Canton de Genève,47.31,30.0,10.0,81.25,100.0,genève,"digital, noise_environment, transport, urban_planning","API, SERVICE, WFS",False,Le cadastre des antennes de téléphonie mobile est un recueil des informations relatives aux immissions de rayonnements non ionisants dans l'environnement. Ces informations sont contenues dans des rapp
67,Objets divers (polygones),https://opendata.swiss/en/dataset/objets-divers-polygones1,Canton de Genève,47.31,30.0,10.0,81.25,100.0,genève,"digital, public_space, tourism_heritage, transport","API, SERVICE, WFS",False,"Les objets divers constituent l'habillage du plan du registre foncier. On trouve dans cette catégorie les objets surfaciques suivants : - antenne, mât, pilône - autre - autre corps bâtiment - bloc err"
