ID,Nom,Type,Commune,Canton,Region,Adresse,lat_wgs84,lon_wgs84,E_LV95,N_LV95,Source,Statut_Coordonnees
37,"Etablissement primaire et secondaire de Vallorbe, Ballaigues et Vallon du Nozon",Primaire et Secondaire,Vallorbe,VD,Jura - Nord vaudois,"Rue Louis-Ruchonnet 33, 1337 Vallorbe",46.712000,6.377000,2518824.49,1173971.98,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
42,Etablissement primaire et secondaire d'Yvonand et environs,Primaire et Secondaire,Yvonand,VD,Jura - Nord vaudois,"Avenue des Sports 13, 1462 Yvonand",46.800000,6.745000,2547048.44,1183439.06,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
43,Etablissement primaire et secondaire d'Aubonne et environs,Primaire et Secondaire,Aubonne,VD,La Dôle,"Chemin du Collège 9, 1170 Aubonne",46.493900,6.395400,2519908.48,1149709.92,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
44,Etablissement primaire et secondaire de Begnins - L'Esplanade,Primaire et Secondaire,Begnins,VD,La Dôle,"Route de Saint-Cergue 5, 1268 Begnins",46.441000,6.266000,2509886.89,1143970.44,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
47,Etablissement primaire et secondaire de Crassier - Elisabeth de Portes,Primaire et Secondaire,Crassier,VD,La Dôle,"Rue de la Tour 55, 1263 Crassier",46.379000,6.170000,2502398.68,1137194.04,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
48,Etablissement primaire et secondaire de Genolier et environs,Primaire et Secondaire,Genolier,VD,La Dôle,"Chemin de la Brégentenaz 11, 1272 Genolier",46.435000,6.234000,2507417.75,1143340.83,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
56,Etablissement primaire et secondaire de Rolle,Primaire et Secondaire,Rolle,VD,La Dôle,"Avenue Général-Guisan 23, 1180 Rolle",46.458000,6.332700,2515038.86,1145785.52,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
58,Etablissement primaire et secondaire Lausanne - Belvédère,Primaire et Secondaire,Lausanne,VD,Lausanne,"Chemin des Croix-Rouges 24, 1007 Lausanne",46.520100,6.619500,2537142.80,1152417.77,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
59,Etablissement primaire et secondaire de Lausanne - Bergières,Primaire et Secondaire,Lausanne,VD,Lausanne,"Avenue des Bergières 44, 1004 Lausanne",46.531800,6.621700,2537325.17,1153716.57,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
60,Etablissement primaire et secondaire de Lausanne - Béthusy,Primaire et Secondaire,Lausanne,VD,Lausanne,"Avenue de Béthusy 7, 1005 Lausanne",46.521700,6.642900,2538940.15,1152577.11,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
61,Etablissement primaire et secondaire de Lausanne - CF Ramuz,Primaire et Secondaire,Lausanne,VD,Lausanne,"Chemin d'Entre-Bois 13b, 1018 Lausanne",46.537100,6.630900,2538037.04,1154298.40,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
65,Etablissement primaire et secondaire Lausanne - I.-de-Montolieu,Primaire et Secondaire,Lausanne,VD,Lausanne,"Chemin des Abeilles 11, 1010 Lausanne",46.541000,6.647000,2539276.43,1154719.31,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
67,Etablissement primaire et secondaire de Lausanne - L'Elysée,Primaire et Secondaire,Lausanne,VD,Lausanne,"Avenue de l'Elysée 6, 1006 Lausanne",46.510200,6.631800,2538075.27,1151307.50,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
71,Etablissement primaire et secondaire de Lausanne - Villamont,Primaire et Secondaire,Lausanne,VD,Lausanne,"Chemin des Magnolias 6, 1005 Lausanne",46.518900,6.638400,2538591.69,1152269.39,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
72,Etablissement primaire et secondaire de Blonay - Saint-Légier,Primaire et Secondaire,Blonay,VD,Lavaux-Riviera,"Chemin de Bahyse 14, 1807 Blonay",46.466600,6.896200,2558333.90,1146285.97,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
73,Etablissement primaire et secondaire de centre Lavaux,Primaire et Secondaire,Puidoux,VD,Lavaux-Riviera,"Route du Verney 22, 1070 Puidoux",46.492400,6.766500,2548396.19,1149231.20,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
74,Etablissement primaire et secondaire de Corsier-sur-Vevey et environs,Primaire et Secondaire,Corsier-sur-Vevey,VD,Lavaux-Riviera,"Rue du Collège 7, 1804 Corsier-sur-Vevey",46.471300,6.845300,2554428.18,1146836.79,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
