ID,Nom,Type,Commune,Canton,Region,Adresse,lat_wgs84,lon_wgs84,E_LV95,N_LV95,Source,Statut_Coordonnees
70,Etablissement primaire de Lausanne - Prélaz,Primaire,Lausanne,VD,Lausanne,"Chemin de Renens 1, 1004 Lausanne",46.526700,6.615900,2536874.27,1153154.32,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
80,Etablissement primaire de Pully - Paudex - Belmont,Primaire,Pully,VD,Lavaux-Riviera,"Avenue C.F. Ramuz 43, 1009 Pully",46.509300,6.650200,2539486.41,1151193.07,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
82,Etablissement primaire de Vevey,Primaire,Vevey,VD,Lavaux-Riviera,"Rue du Torrent 27, 1800 Vevey",46.461300,6.838900,2553928.12,1145728.92,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
86,Etablissement primaire de Cossonay Veyron-Venoge,Primaire,Cossonay-Ville,VD,Venoge-Lac,"Route d'Aubonne 7, 1304 Cossonay-Ville",46.613000,6.504000,2528403.44,1162843.55,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
89,Etablissement primaire de Morges-Est,Primaire,Morges,VD,Venoge-Lac,"Avenue de Chanel 51, 1110 Morges",46.517700,6.497400,2527770.60,1152256.28,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
90,Etablissement primaire de Morges-Ouest,Primaire,Morges,VD,Venoge-Lac,"Chemin de Tolochenaz 9, 1110 Morges",46.510400,6.482900,2526648.04,1151458.31,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
91,Etablissement primaire de Penthalaz - Venoge,Primaire,Penthalaz,VD,Venoge-Lac,"Chemin du Collège 1, 1305 Penthalaz",46.591000,6.530000,2530366.68,1160374.63,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
113,EP Allobroges / Hugo-de-Senger,Primaire,Genève,GE,Canton de Genève,"Rue des Allobroges 3, 1205 Genève",46.193000,6.139500,2499709.62,1116558.64,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
114,EP Anières / Corsier / Gy / Hermance / Jussy / Presinge,Primaire,Anières,GE,Canton de Genève,"Route d'Hermance 233, 1247 Anières",46.272700,6.225700,2506500.61,1125310.76,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
115,EP Avanchets,Primaire,Genève (Les Avanchets),GE,Canton de Genève,"Avenue du Parc 52, 1219 Le Lignon",46.217000,6.105000,2497091.97,1119270.96,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
116,EP Avully / Aire-la-Ville / Cartigny / Chancy,Primaire,Avully,GE,Canton de Genève,"Route du Moulin-Fabry 4, 1237 Avully",46.177700,6.009000,2489605.42,1115033.51,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
