ID,Nom,Type,Commune,Canton,Region,Adresse,lat_wgs84,lon_wgs84,E_LV95,N_LV95,Source,Statut_Coordonnees
24,Etablissement primaire et secondaire d'Epalinges,Primaire et Secondaire,Epalinges,VD,CRENOL,"Chemin du Bois-Murat 15, 1066 Epalinges",46.537600,6.661200,2540361.87,1154330.46,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
25,Etablissement primaire et secondaire du Mont-sur-Lausanne,Primaire et Secondaire,Le Mont-sur-Lausanne,VD,CRENOL,"Route de la Blécherette 5, 1052 Le Mont-sur-Lausanne",46.552000,6.629000,2537908.41,1155956.18,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
26,Etablissement primaire et secondaire de Prilly,Primaire et Secondaire,Prilly,VD,CRENOL,"Chemin de l'Union 1, 1008 Prilly",46.536300,6.607300,2536225.77,1154228.41,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
27,"Etablissement primaire de Prilly, Romanel-sur-Lausanne et Jouxtens-Mézery",Primaire,Prilly,VD,CRENOL,"Place du Collège 3, 1008 Prilly",46.534600,6.603800,2535955.27,1154042.30,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
28,Etablissement primaire de Renens-Est,Primaire,Renens VD,VD,CRENOL,"Avenue du 24-Janvier 24, 1020 Renens VD",46.536300,6.589800,2534883.35,1154242.81,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
29,Etablissement primaire de Renens-Ouest,Primaire,Renens VD,VD,CRENOL,"Rue du Bugnon 1, 1020 Renens VD",46.539700,6.588500,2534787.73,1154621.83,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
30,Etablissement secondaire de Renens,Secondaire,Renens VD,VD,CRENOL,"Rue du Léman 12, 1020 Renens VD",46.530800,6.586000,2534585.20,1153634.61,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
31,Etablissement primaire et secondaire de Chavornay,Primaire et Secondaire,Chavornay,VD,Jura - Nord vaudois,"Rue du Verneret 12, 1373 Chavornay",46.705000,6.570800,2533633.65,1173011.36,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
32,Etablissement primaire et secondaire de Grandson,Primaire et Secondaire,Grandson,VD,Jura - Nord vaudois,"Rue du Jura 27, 1422 Grandson",46.809000,6.646000,2539501.23,1184511.24,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
33,Etablissement primaire d'Orbe et environs,Primaire,Orbe,VD,Jura - Nord vaudois,"Chemin de Chantemerle 17a, 1350 Orbe",46.724000,6.531000,2530614.61,1175157.89,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
34,Etablissement secondaire d'Orbe et environs,Secondaire,Orbe,VD,Jura - Nord vaudois,"Route de Valeyres 1a, 1350 Orbe",46.728000,6.533000,2530772.64,1175600.76,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
35,Etablissement primaire et secondaire de Sainte-Croix et environs,Primaire et Secondaire,Ste-Croix,VD,Jura - Nord vaudois,"Avenue de la Gare 10, 1450 Ste-Croix",46.822000,6.506000,2528833.25,1186074.01,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
36,Etablissement primaire et secondaire de la Vallée de Joux,Primaire et Secondaire,Le Sentier,VD,Jura - Nord vaudois,"Rue des Ecoles 2, 1347 Le Sentier",46.604000,6.231000,2507476.75,1162129.10,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
37,"Etablissement primaire et secondaire de Vallorbe, Ballaigues et Vallon du Nozon",Primaire et Secondaire,Vallorbe,VD,Jura - Nord vaudois,"Rue Louis-Ruchonnet 33, 1337 Vallorbe",46.712000,6.377000,2518824.49,1173971.98,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
38,Etablissement secondaire d'Yverdon-les-Bains - de Felice,Secondaire,Yverdon-les-Bains,VD,Jura - Nord vaudois,"Rue de l'Arsenal 14, 1400 Yverdon-les-Bains",46.780000,6.641000,2539086.78,1181291.41,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
39,Etablissement primaire d'Yverdon-les-Bains - Edmond-Gilliard,Primaire,Yverdon-les-Bains,VD,Jura - Nord vaudois,"Rue Pestalozzi 2, 1400 Yverdon-les-Bains",46.778700,6.635000,2538627.11,1181151.58,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
40,Etablissement secondaire d'Yverdon-les-Bains - Léon-Michaud,Secondaire,Yverdon-les-Bains,VD,Jura - Nord vaudois,"Rue Léon-Michaud 3, 1400 Yverdon-les-Bains",46.779000,6.632000,2538398.36,1181187.28,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
41,Etablissement primaire d'Yverdon-les-Bains - Pestalozzi,Primaire,Yverdon-les-Bains,VD,Jura - Nord vaudois,"Rue Pestalozzi 2, 1400 Yverdon-les-Bains",46.778700,6.635000,2538627.11,1181151.58,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
42,Etablissement primaire et secondaire d'Yvonand et environs,Primaire et Secondaire,Yvonand,VD,Jura - Nord vaudois,"Avenue des Sports 13, 1462 Yvonand",46.800000,6.745000,2547048.44,1183439.06,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
43,Etablissement primaire et secondaire d'Aubonne et environs,Primaire et Secondaire,Aubonne,VD,La Dôle,"Chemin du Collège 9, 1170 Aubonne",46.493900,6.395400,2519908.48,1149709.92,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
44,Etablissement primaire et secondaire de Begnins - L'Esplanade,Primaire et Secondaire,Begnins,VD,La Dôle,"Route de Saint-Cergue 5, 1268 Begnins",46.441000,6.266000,2509886.89,1143970.44,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
45,Etablissement primaire de Coppet - Terre-Sainte,Primaire,Coppet,VD,La Dôle,"Chemin du Chaucey 7, 1296 Coppet",46.322600,6.187100,2503613.99,1130903.98,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
