code,uic,name,canton,infrastructure_manager,year,daily_avg,workday_avg,nonworkday_avg,commuter_index,transport_companies,lat_wgs84,lon_wgs84,remarks_de
MRL,8504007.0,Moreillon,VD,SBB,2024,90.0,100.0,60.0,1.67,SBB,46.50839811665493,6.78564542808098,
GLHA,8501230.0,Glion-Alpes,VD,MVR,2024,90.0,80.0,100.0,0.8,MVR,46.433804295247526,6.925753436561475,
TINE,8501391.0,La Tine,VD,MOB,2024,90.0,80.0,100.0,0.8,MOB,46.46716999525477,7.046570001311358,
VVFU,8504015.0,Vevey-Funi,VD,SBB,2024,90.0,100.0,70.0,1.43,SBB,46.46827670459154,6.835443290340249,
CHEV,8501284.0,Les Chevalleyres,VD,MVR,2024,80.0,100.0,49.0,2.04,MVR,46.47559000215196,6.898119996016441,
CHB,8501151.0,Les Charbonnières,VD,TRAVYS,2024,70.0,80.0,49.0,1.63,SBB,46.6642945398443,6.317044772809531,
ESP,8501111.0,Essert-Pittet,VD,SBB,2024,70.0,80.0,49.0,1.63,SBB,46.72767332068426,6.580655818453199,
SONZ,8501384.0,Sonzier,VD,MOB,2024,70.0,80.0,49.0,1.63,MOB,46.43905000214362,6.921209997260586,
CHB,8501151.0,Charbonnières,VD,TRAVYS,2018,70.0,80.0,49.0,1.63,TRAVYS,46.6642945398443,6.317044772809531,
SGO,8501156.0,Solliat-Golisse,VD,TRAVYS,2018,70.0,80.0,49.0,1.63,TRAVYS,46.61440647573065,6.239022951719967,
PLCH,8501360.0,Montreux-Les Planches,VD,MVR,2024,60.0,60.0,70.0,0.86,MVR,46.43310000238087,6.91756000509384,
TUS,8501283.0,Tusinge,VD,MVR,2024,60.0,70.0,49.0,1.43,MVR,46.47384999687032,6.896250000779065,
GRAC,8501395.0,Les Granges-Gérignoz,VD,MOB,2024,50.0,50.0,50.0,1.0,MOB,46.47416521951939,7.154950370976045,
BRT,8501105.0,Bretonnières,VD,SBB,2024,50.0,60.0,49.0,1.22,SBB,46.715055329929,6.474732504265312,
TOV,8501361.0,Toveyre,VD,MVR,2024,50.0,60.0,49.0,1.22,MVR,46.42789999874341,6.9284699975418675,
FLED,8501396.0,Flendruz,VD,MOB,2024,50.0,70.0,49.0,1.43,MOB,46.48208999459528,7.186070004776346,
SDY,8501385.0,Sendy-Sollard,VD,MOB,2024,49.0,49.0,49.0,1.0,MOB,46.44663999832252,6.929070001765159,49: weniger als 50 Ein- und Aussteigende.
TREM,8501363.0,Le Tremblex,VD,MVR,2024,49.0,49.0,49.0,1.0,MVR,46.43603999980244,6.932749998484651,49: weniger als 50 Ein- und Aussteigende.
CC,8504203.0,Concise,VD,SBB,2024,49.0,60.0,49.0,1.22,SBB,46.85088154377158,6.723157409168141,
