E_LV95,N_LV95,espece,art_nest,nat_nest,p_nat_nest,localisati,detail_loc,remarques,categorie_type,categorie_label
2536575,1153075,Hirondelle de fenêtre,0,2,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536118,1153011,Hirondelle de fenêtre,0,5,2,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536133,1153002,Hirondelle de fenêtre,0,9,10,,,,nichoir_naturel,Nid naturel sur structure bâtie
2535962,1153225,Hirondelle de fenêtre,0,1,2,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536324,1152487,Hirondelle de fenêtre,0,2,5,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536552,1152454,Hirondelle de fenêtre,0,1,2,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536178,1152981,Hirondelle de fenêtre,0,3,2,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538551,1151695,Martinet noir,0,,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536570,1152314,Hirondelle de fenêtre,26,0,0,,,,nichoir_artificiel,Nichoir artificiel
2536512,1152284,Hirondelle de fenêtre,20,0,0,,,,nichoir_artificiel,Nichoir artificiel
