name,lat_wgs84,lon_wgs84,place_type,google_rating,google_review_count,address,municipality,google_place_id
T19 Bi Coworking,46.5209,6.6153,coworking,4.6,44,"Avenue de Tivoli 19bis, 1007 Lausanne",Lausanne,ChIJT-lT_9QxjEcRj_lNjpJrUrA
Bibliothèques de Lausanne Chauderon,46.5233,6.6251,library,4.4,144,"Place Chauderon 11, 1003 Lausanne",Lausanne,ChIJ636Jsy4ujEcRK8usuSXm37w
Gotham Lausanne Flon,46.5223,6.6253,coworking,4.3,24,"Rue du Port-Franc 22, 1003 Lausanne",Lausanne,ChIJddLJOIUvjEcRFgm5skN3PZ4
Ça Passe Crème,46.5164,6.6255,café,4.9,698,"Boulevard de Grancy 49, 1006 Lausanne",Lausanne,ChIJwwgZAj8vjEcRpBWp4kUVYBg
Impact Hub Lausanne,46.5286,6.6256,coworking,4.6,84,"Avenue Bergières 10, 1004 Lausanne",Lausanne,ChIJezs83SgujEcRC45AdS3zOuY
Regus Lausanne Main Station,46.5179,6.6281,coworking,4.8,129,"Place de la Gare 12, 1003 Lausanne",Lausanne,ChIJsayjABsvjEcRBAvyPmvMP8Q
Do It Better Coworking,46.5162,6.6283,coworking,4.5,15,"Rue du Simplon 37, 1006 Lausanne",Lausanne,ChIJuYtj2zEujEcR_RF5RvTXAlU
Powerhouse,46.5178,6.6285,coworking,4.8,35,"Place de la Gare 10, 1003 Lausanne",Lausanne,ChIJFc489oIvjEcRjhoGZ-Vs07w
Bel-Air Coffee,46.5228,6.6285,café,4.8,374,"Rue des Terreaux 6, 1003 Lausanne",Lausanne,ChIJ9bwfJxgvjEcRIuMse2sNH1s
Regus Lausanne City Flon,46.5207,6.6294,coworking,4.5,57,"Voie du Chariot 3, 1003 Lausanne",Lausanne,ChIJVZRplC0ujEcR4Q4bgkJ47U4
Bold Coffee,46.5133,6.6303,café,4.9,291,"Avenue d'Ouchy 16, 1006 Lausanne",Lausanne,ChIJ1UDumHYvjEcRDmoo7h698gA
Ordinary Man Coffee,46.5186,6.6309,café,4.8,317,"Rue du Petit-Chêne 28, 1003 Lausanne",Lausanne,ChIJvRD1ClIvjEcR3bBROcHlxnA
