name,lat_wgs84,lon_wgs84,place_type,google_rating,google_review_count,address,municipality,google_place_id,nearest_train_station,distance_to_train_m,trains_per_hour,daily_ridership,commuter_index,nearest_ev_charger_m,nearest_ev_charge_level,ev_chargers_within_1km,nearest_shared_mobility_m,nearest_shared_mobility_provider,shared_mobility_within_500m,nearest_wifi_m,nearest_wifi_quality,cell_towers_within_500m,has_5g_nearby,hours_score,early_open,late_close,weekend_open,review_count,work_relevant_review_count,positive_review_pct
Spaces Nations,46.2232,6.1479,coworking,4.9,139,"Chemin des Mines 2, 1202 Genève",Genève,ChIJC0IBpc9ljEcRFHgYykYd5VQ,Genève-Sécheron,271.4,8.0,2200.0,4.53,408.1,,5,66.2,donkey_ge,10,0.0,5.0,31,True,1.0,True,True,True,4,4,1.0
Vicky's Coffee,46.2045,6.1629,café,5.0,61,"Rue de Montchoisy 66, 1207 Genève",Genève,ChIJ8-_0UTdljEcRwW_2seA7A4M,Genève-Eaux-Vives,439.4,12.5,8500.0,1.98,474.9,medium,3,51.9,donkey_ge,50,630.4,3.0,28,True,0.0,False,False,False,1,1,1.0
Regus Versoix Station Lakeside,46.2813,6.165,coworking,4.8,57,"Chemin Jean-Baptiste Vandelle 3a, 1290 Versoix",Versoix,ChIJe9qWFXtmjEcRlvPhInEKfNM,Versoix,181.9,8.0,4400.0,1.82,152.8,medium,5,128.4,mobility,5,3724.7,4.0,7,True,1.0,True,True,True,2,2,1.0
Café Express Tea Room,46.2004,6.1662,café,4.7,52,"Avenue de la Gare des Eaux-Vives 4, 1207 Genève",Genève,ChIJT-CGE4dljEcR1xAKXaeDV2c,Genève-Eaux-Vives,121.0,12.5,8500.0,1.98,64.8,medium,3,33.1,donkey_ge,26,970.4,3.0,22,True,0.5,True,False,True,1,1,1.0
Neufdixieme,46.2777,6.1686,coworking,5.0,6,"Route de Suisse 41, 1290 Versoix",Versoix,ChIJDxTkU3dmjEcRnwbEH0yZ6bI,Versoix,317.1,8.0,4400.0,1.82,332.8,medium,5,282.1,donkey_ge,3,3950.1,4.0,10,True,0.0,False,False,False,0,0,
Bibliothèque Marens Nyon,46.3819,6.2259,library,5.0,1,"Route du Stand 5, 1260 Nyon",Nyon,ChIJnVtNCH9DjEcRF-PlTfn7eHo,Nyon,820.6,14.5,18800.0,1.95,668.9,medium,4,244.5,2em_cars,4,820.7,2.0,7,True,0.0,False,False,False,0,0,
Café Jayko,46.3833,6.2339,café,4.9,115,"Rue de la Morâche 8, 1260 Nyon",Nyon,ChIJB68498RDjEcRCM9FQuKbaZI,Nyon,201.2,14.5,18800.0,1.95,94.0,,6,68.0,2em_cars,12,225.1,2.0,21,True,0.5,False,True,True,1,0,1.0
Café Ex Machina,46.3815,6.2394,café,4.7,756,"Rue du Vieux-Marché 11, 1260 Nyon",Nyon,ChIJtakUEdlCjEcR_ae20B1hspA,Nyon,419.7,14.5,18800.0,1.95,235.5,medium,6,3.6,carvelo2go,10,13.5,5.0,23,True,0.4,False,False,True,1,0,1.0
ATELIER 9 Coworking Nyon,46.3816,6.2395,coworking,5.0,61,"Rue du Vieux-Marché 9, 1260 Nyon",Nyon,ChIJ414lnjxDjEcRo48LBF7Jkuc,Nyon,416.1,14.5,18800.0,1.95,224.0,medium,6,13.5,carvelo2go,10,0.0,5.0,23,True,0.0,False,False,False,3,3,1.0
PepperHub Gland,46.4217,6.2718,coworking,4.6,5,"Chemin du Vernay 14a, 1196 Gland",Gland,ChIJd2d9GORFjEcRhsKCpbiGG0E,Gland,278.9,6.5,6900.0,2.33,611.3,medium,4,214.2,2em_cars,7,0.0,4.0,6,True,0.0,False,False,False,1,1,1.0
Ichibani Coworking Rolle,46.4616,6.3225,coworking,4.8,65,"Zone Artisanale La Pièce 1, 1180 Rolle",Rolle,ChIJyRiYfs1FjEcR6oJ_LaiDLng,Rolle,1071.4,4.5,4600.0,2.0,153.4,,1,1062.2,mobility,0,5897.1,4.0,3,True,0.0,False,False,False,1,1,1.0
Uluwatu House Rolle,46.4572,6.3373,café,4.6,103,"Grand-Rue 78, 1180 Rolle",Rolle,ChIJH6j8cSxHjEcRq73vxsAG3gg,Rolle,621.9,4.5,4600.0,2.0,400.4,medium,4,338.0,2em_cars,2,6385.4,4.0,4,True,0.4,False,False,True,1,0,1.0
lykke Bar Café Boutique,46.5081,6.4974,café,4.9,141,"Grand-Rue 89, 1110 Morges",Morges,ChIJPyiwYRQ3jEcRe1cb06Cnpkc,Morges,425.2,16.0,22100.0,1.66,63.1,fast,4,60.4,carvelo2go,12,362.4,4.0,14,True,0.5,False,True,True,1,1,1.0
Bibliothèque publique de Morges,46.5087,6.4994,library,4.8,35,"Place du Casino 1, 1110 Morges",Morges,ChIJVfTpsxU3jEcRLfBO5934hFQ,Morges,494.8,16.0,22100.0,1.66,106.7,fast,4,31.2,publibike,11,301.1,4.0,15,True,0.2,False,False,True,1,1,1.0
KO-LAB,46.5094,6.4998,café,5.0,49,"Rue Louis de Savoie 23, 1110 Morges",Morges,ChIJTeHOXqA3jEcRlrqMEJTEu24,Morges,485.5,16.0,22100.0,1.66,143.8,medium,5,42.9,mobility,11,240.4,4.0,15,True,0.2,False,False,True,1,0,1.0
Society Coworking Morges,46.5156,6.5042,coworking,4.6,20,"Rue de Lausanne 43B, 1110 Morges",Morges,ChIJSdbNoyI3jEcRJGN0uU4dRew,Morges,929.7,16.0,22100.0,1.66,201.6,medium,6,298.4,2em_cars,3,0.0,4.0,5,True,0.0,False,False,False,2,2,1.0
Regus Préverenges,46.5182,6.5175,coworking,5.0,58,"Chemin du Vuasset 2, 1028 Préverenges",Préverenges,ChIJo5RsOwQ3jEcRiHyxF1sx-sw,Lonay-Préverenges,570.9,4.0,290.0,1.79,424.4,ultra-fast,1,274.7,2em_cars,4,1058.0,4.0,1,False,1.0,True,True,True,2,2,1.0
T19 Bi Coworking,46.5209,6.6153,coworking,4.6,44,"Avenue de Tivoli 19bis, 1007 Lausanne",Lausanne,ChIJT-lT_9QxjEcRj_lNjpJrUrA,Lausanne,1149.4,28.5,102800.0,1.39,673.8,,4,94.0,mobility,11,0.0,5.0,22,True,1.0,True,True,True,3,3,1.0
Bibliothèques de Lausanne Chauderon,46.5233,6.6251,library,4.4,144,"Place Chauderon 11, 1003 Lausanne",Lausanne,ChIJ636Jsy4ujEcRK8usuSXm37w,Lausanne-Flon,487.4,4.0,102800.0,1.39,158.1,fast,6,14.5,mobility,27,112.2,4.0,55,True,0.2,False,False,True,1,1,1.0
Gotham Lausanne Flon,46.5223,6.6253,coworking,4.3,24,"Rue du Port-Franc 22, 1003 Lausanne",Lausanne,ChIJddLJOIUvjEcRFgm5skN3PZ4,Lausanne-Flon,419.5,4.0,102800.0,1.39,81.1,fast,7,70.9,velospot,31,0.0,4.0,59,True,0.0,False,False,False,2,1,0.5
Ça Passe Crème,46.5164,6.6255,café,4.9,698,"Boulevard de Grancy 49, 1006 Lausanne",Lausanne,ChIJwwgZAj8vjEcRpBWp4kUVYBg,Lausanne,278.0,28.5,102800.0,1.39,481.7,medium,7,205.4,2em_cars,39,132.8,3.0,35,True,0.4,False,False,True,1,0,1.0
Impact Hub Lausanne,46.5286,6.6256,coworking,4.6,84,"Avenue Bergières 10, 1004 Lausanne",Lausanne,ChIJezs83SgujEcRC45AdS3zOuY,Lausanne-Flon,940.0,4.0,102800.0,1.39,707.4,fast,5,140.9,mobility,19,0.0,5.0,30,True,0.0,False,False,False,2,2,1.0
Regus Lausanne Main Station,46.5179,6.6281,coworking,4.8,129,"Place de la Gare 12, 1003 Lausanne",Lausanne,ChIJsayjABsvjEcRBAvyPmvMP8Q,Lausanne,144.2,28.5,102800.0,1.39,492.8,fast,9,31.6,2em_cars,116,99.6,2.0,59,True,1.0,True,True,True,3,3,1.0
Do It Better Coworking,46.5162,6.6283,coworking,4.5,15,"Rue du Simplon 37, 1006 Lausanne",Lausanne,ChIJuYtj2zEujEcR_RF5RvTXAlU,Lausanne,89.5,28.5,102800.0,1.39,589.3,medium,9,88.6,2em_cars,113,121.5,4.0,48,True,1.0,True,True,True,1,1,1.0
Powerhouse,46.5178,6.6285,coworking,4.8,35,"Place de la Gare 10, 1003 Lausanne",Lausanne,ChIJFc489oIvjEcRjhoGZ-Vs07w,Lausanne,120.4,28.5,102800.0,1.39,512.6,fast,9,5.8,2em_cars,115,67.1,2.0,57,True,0.0,False,False,False,2,2,1.0
Bel-Air Coffee,46.5228,6.6285,café,4.8,374,"Rue des Terreaux 6, 1003 Lausanne",Lausanne,ChIJ9bwfJxgvjEcRIuMse2sNH1s,Lausanne-Flon,263.0,4.0,102800.0,1.39,179.6,fast,6,86.2,2em_cars,104,115.2,2.0,85,True,0.4,False,False,True,1,1,1.0
Regus Lausanne City Flon,46.5207,6.6294,coworking,4.5,57,"Voie du Chariot 3, 1003 Lausanne",Lausanne,ChIJVZRplC0ujEcR4Q4bgkJ47U4,Lausanne-Flon,72.0,4.0,102800.0,1.39,285.0,fast,7,58.3,velospot,112,195.4,3.0,95,True,1.0,True,True,True,1,1,0.0
Bold Coffee,46.5133,6.6303,café,4.9,291,"Avenue d'Ouchy 16, 1006 Lausanne",Lausanne,ChIJ1UDumHYvjEcRDmoo7h698gA,Lausanne,399.6,28.5,102800.0,1.39,580.3,medium,4,77.8,mobility,49,394.2,5.0,41,True,0.4,False,False,True,1,0,1.0
Ordinary Man Coffee,46.5186,6.6309,café,4.8,317,"Rue du Petit-Chêne 28, 1003 Lausanne",Lausanne,ChIJvRD1ClIvjEcR3bBROcHlxnA,Lausanne,244.0,28.5,102800.0,1.39,412.1,medium,8,65.2,carvelo2go,114,147.3,3.0,83,True,0.7,True,False,True,1,1,1.0
Coffee Shop Sleepy Bear,46.5154,6.6313,café,4.6,599,"Rue du Simplon 3A, 1006 Lausanne",Lausanne,ChIJFaJJA80vjEcRtg9rWGE_mXg,Lausanne,229.6,28.5,102800.0,1.39,676.9,medium,8,64.6,2em_cars,121,159.8,5.0,49,True,0.7,True,False,True,3,2,1.0
Gotham Lausanne Gare,46.5164,6.6328,coworking,4.4,153,"Avenue d'Ouchy 4, 1006 Lausanne",Lausanne,ChIJl1qTxcwvjEcRPRGD7etwhGQ,Lausanne,287.5,28.5,102800.0,1.39,529.7,medium,8,103.2,2em_cars,121,0.0,5.0,56,True,0.0,False,False,False,3,3,1.0
Coworking de la Madeleine,46.5224,6.6329,coworking,5.0,5,"Rue Madeleine 5, 1003 Lausanne",Lausanne,ChIJnW3ONdMvjEcRXqweqW0o5x8,Lausanne-Flon,265.3,4.0,102800.0,1.39,153.6,ultra-fast,7,164.7,mobility,91,0.0,4.0,84,True,1.0,True,True,True,2,2,1.0
BCU Lausanne (Unithèque),46.5232,6.6335,library,4.4,85,"Place de la Riponne, 1014 Lausanne",Lausanne,ChIJL1blCDEujEcRrSTuhxnJ9oM,Lausanne-Flon,360.8,4.0,102800.0,1.39,79.8,ultra-fast,7,99.4,mobility,87,58.7,3.0,80,True,0.5,False,True,True,2,2,1.0
Tchalo Work Lounge,46.5122,6.634,coworking,5.0,5,"Avenue Maria-Belgia 2, 1006 Lausanne",Lausanne,ChIJJ50NWTMvjEcRSfU36Z6L4Ds,Lausanne,634.3,28.5,102800.0,1.39,856.9,medium,5,88.5,2em_cars,31,476.0,5.0,25,True,0.0,False,False,False,2,2,1.0
Pully-coworking,46.5106,6.65,coworking,5.0,1,"Chemin du Château-Sec 2, 1009 Pully",Pully,ChIJJR7T5LEvjEcRYy1YiJ7EgsA,Lausanne,1742.3,28.5,102800.0,1.39,678.8,medium,4,86.5,mobility,8,1465.7,5.0,17,True,0.0,False,False,False,1,0,1.0
